animal,session,start,duration_s,crosses_midnight,pc_steps_inside,mid_anchor_resid_ms,n_anchors,n_garbage_dropped,n_native_start,n_native_end,start_delay_ms,off_start_ms,n_borrowed,borrowed_from,gap_to_next_s,n_kept,drift_native_ppm,drift_native_sem_ppm,native_residual_ms,tail_extrap_h,tail_extrap_unc_ms,drift_chained_ppm,chain_unc_ppm,chain_span_s,start_vs_prev_ms,end_vs_next_ms,verdict,step_note
SF07,5_20260908_071513.175,2026-09-08 07:15:13.175,42041.318,False,,5.00h:+96 5.01h:-53 5.01h:-49 5.01h:+88 5.01h:+46 5.01h:-45 5.01h:+91 5.01h:-53 5.02h:-50 5.02h:+88 5.02h:-49 5.02h:+70 5.02h:+43 5.02h:-49 5.02h:-42 5.02h:+99 5.03h:-110 5.03h:-43 5.03h:+101 5.03h:-45 5.03h:-43 5.03h:+100 5.03h:-49 5.04h:-102 5.04h:+98 5.04h:-50 5.04h:-47 5.04h:+96 5.04h:-50 5.04h:-109 5.05h:+91 5.05h:-106 5.05h:-100 5.05h:+97 5.05h:-46 5.05h:-32 5.05h:+90 5.06h:-38 5.06h:-37 5.06h:+98 5.06h:+54 5.06h:-159 5.06h:+95 5.06h:-27 5.07h:-30 5.07h:+99 5.07h:-46 5.07h:-45 5.07h:+90 5.07h:-93 5.07h:-38 5.07h:+45 5.08h:-51 5.08h:-101 5.08h:+96 5.08h:-48 5.08h:-45 5.08h:+91 5.08h:-48 5.09h:-46 5.09h:+95 5.09h:-18 5.09h:-47 5.09h:+103 5.09h:-50 5.09h:-36 5.10h:+99 5.10h:-19 5.10h:-36 5.10h:+103 5.10h:-49 5.10h:-34 5.10h:+97 5.11h:+59 5.11h:+75 5.11h:+93 5.11h:-46 5.11h:-33 5.11h:+96 5.11h:-45 5.12h:-43 5.12h:+103 5.12h:-105 5.12h:-43 5.12h:+96 5.12h:-108 5.12h:-41 5.12h:+101 5.13h:-168 5.13h:-43 5.13h:+99 5.13h:-48 5.13h:-41 5.13h:+96 5.13h:+36 5.14h:-39 5.14h:+96 5.14h:-48 5.14h:-40 5.14h:+97 5.14h:-48 5.14h:-43 5.15h:+47 5.15h:-50 5.15h:-31 5.15h:+99 5.15h:-38 5.15h:-34 5.15h:+101 5.16h:-46 5.16h:-43 5.16h:+99 5.16h:-48 5.16h:-100 5.16h:-13 5.16h:-39 5.17h:-102 5.17h:+102 5.17h:-47 5.17h:+29 5.17h:+104 5.17h:-44 5.17h:-98 5.17h:+102 5.18h:-28 5.18h:-11 5.18h:-43 5.18h:-101 5.18h:-23 5.18h:-45 5.18h:-44 5.19h:-85 5.19h:-44 5.19h:-31 5.19h:-6 5.19h:-41 5.19h:-25 5.19h:-7 5.20h:-44 5.20h:-26 5.20h:-6 5.20h:-23 5.20h:-26 5.20h:-66 5.20h:-40 5.21h:-65 5.21h:-64 5.21h:-105 5.21h:+73 5.21h:-65 5.21h:-43 5.21h:-15 5.22h:-6 5.22h:-104 5.22h:-85 5.22h:+8 5.22h:-13 5.22h:-86 5.22h:-4 5.22h:-44 5.23h:-84 5.23h:-6 5.23h:-45 5.23h:-26 5.23h:-5 5.23h:-43 5.23h:-8 5.24h:+11 5.24h:-28 5.24h:-9 5.24h:+102 5.24h:-12 5.24h:+7 5.24h:+29 5.25h:-14 5.25h:+9 5.25h:+28 5.25h:-11 5.25h:+43 5.25h:+43 5.25h:+3 5.26h:+25 5.26h:+45 5.26h:+4 5.26h:+36 5.26h:-15 5.26h:+5 5.26h:+39 5.27h:-12 5.27h:+4 5.27h:+25 5.27h:-9 5.27h:+20 5.27h:+39,225,0,15,16,1309,273,0,,807.2,224,-22.1,0.6,64.7,,,,,0.0,+19,+1643,OK-native,
SF07,6_20260908_190921.663,2026-09-08 19:09:21.663,3.43,False,,,2,0,2,2,60,990,0,,1641.4,,,,,,,,,0.0,,-714,one-end-only,
SF07,7_20260908_193646.481,2026-09-08 19:36:46.481,32.346,False,,,8,0,8,8,80,277,15,next:15,14.6,,,,,,,-215.4,19634.4,76.4,-714,-14,OK-chained,
SF07,8_20260908_193733.435,2026-09-08 19:37:33.435,45515.29,True,,0.06h:+46 0.06h:+6 0.07h:+43 7.66h:+58 7.67h:-35 7.67h:+8 7.67h:-81 7.67h:-76 7.67h:+45 7.67h:-88 7.67h:-36 7.68h:-148 7.68h:-89 7.68h:-75 7.68h:+63 7.68h:-87 7.68h:-36 7.68h:+60 7.68h:-88 7.69h:-75 7.69h:+61 7.69h:-87 7.69h:-35 7.69h:-8 7.69h:-148 7.69h:-79 7.70h:+61 7.70h:-34 7.70h:-64 7.70h:+67 7.70h:-22 7.70h:-50 7.70h:+67 7.71h:-89 7.71h:-29 7.71h:-10,68,0,15,17,389,263,0,,,67,-22.4,0.5,60.8,,,,,0.0,-14,,OK-native,
SF08,0_20260831_070148.859,2026-08-31 07:01:48.859,638.822,False,,,26852,0,26718,8,28,,0,,12.0,,,,,,,,,0.0,,,corrupt,
SF08,1_20260831_071239.713,2026-08-31 07:12:39.713,172.25,False,,,14,0,10,4,2497,-3599,0,,9.7,14,13273.1,8362.1,1854.1,,,,,0.0,,,inconsistent,
SF08,2_20260831_071541.642,2026-08-31 07:15:41.642,4513.882,False,,,1281724,0,92482,94544,133,,0,,6.5,,,,,,,,,0.0,,,corrupt,
SF08,3_20260831_083101.996,2026-08-31 08:31:01.996,5.146,False,,,0,0,0,0,,,0,,13.1,,,,,,,,,0.0,,,no-anchors,
SF08,4_20260831_083120.285,2026-08-31 08:31:20.285,10511.923,False,,,3121317,0,13,35437,1814,,0,,27301.3,,,,,,,,,0.0,,,corrupt,
SF08,0_20260831_190133.486,2026-08-31 19:01:33.486,45.158,False,,,10,0,10,10,28,834,9,next:9,11.3,,,,,,,-22.2,21084.7,71.1,,-2,OK-chained,
SF08,1_20260831_190229.919,2026-08-31 19:02:29.919,19242.458,True,,0.28h:-4 0.28h:-22 0.85h:+9 0.86h:+9 0.86h:+9 0.86h:+9 0.86h:+9 0.86h:+9 0.86h:+10 0.86h:+9 0.86h:+10 0.87h:+9 0.87h:-21 0.87h:+10 0.87h:-10 0.87h:-70 0.87h:-1 0.87h:-0 0.88h:-0 0.88h:+9 0.88h:+9 0.88h:-0 0.88h:-0 0.88h:+9 0.88h:+10 0.89h:+10 0.89h:+0 0.89h:+10 0.89h:-10 0.89h:+9 0.89h:-11 0.89h:+9 0.90h:+9 0.90h:+10 0.90h:+10 0.90h:-40 0.90h:+11 0.90h:+11 0.91h:-9 0.91h:+14 0.91h:+10 0.91h:+10 0.91h:+11 0.91h:+1 0.91h:+10 0.91h:+10 0.92h:+2 0.92h:-39 0.92h:+11 0.92h:+10 0.92h:+12 0.93h:+11 0.93h:+11 0.93h:+11 0.93h:-9 0.93h:+12 0.93h:+11 0.93h:-9 0.94h:-10 0.94h:+12 0.94h:+10 0.94h:+11 0.94h:+1 0.94h:+11 0.94h:+12 0.95h:+12 0.95h:+11 0.95h:-18 0.95h:-109 0.95h:+10 0.95h:+10 0.95h:+2 0.96h:+1 0.96h:-7 0.96h:+13 0.96h:+1 0.96h:-19 0.96h:-8 0.96h:-8 0.96h:+11 0.97h:-0 0.97h:+1 0.97h:-9 0.97h:+11 0.97h:+1 0.97h:+1 0.97h:+1 0.98h:+1 0.98h:-18 0.98h:+2 0.98h:+3 0.98h:-1 0.98h:+3 0.99h:+2 0.99h:+2 0.99h:-18 0.99h:-18 0.99h:+1 0.99h:+3 0.99h:+1 1.00h:+1 1.00h:+12 1.00h:+3 1.00h:+2 1.00h:+2 1.00h:-18 1.00h:+4 1.01h:-9 1.01h:+3 1.01h:+12 1.01h:+1 1.01h:+2 1.01h:+2 1.01h:-18 1.01h:-18 1.02h:+12 1.02h:+12 1.02h:+3 1.02h:+2 1.02h:+13 1.02h:+12 1.02h:+2 1.03h:+2 1.03h:-18 1.03h:+2 1.03h:+13 1.03h:-99 1.03h:-7 1.03h:-7 1.04h:+13 1.04h:+13 1.04h:+12 1.04h:+11 1.04h:+13 1.04h:+13 1.04h:+13 1.05h:-7 1.05h:+13 1.05h:+13 1.05h:+12 1.05h:+13 1.05h:-7 1.05h:+13 1.06h:+3 1.06h:+13 1.06h:-7 1.06h:-7 1.06h:+3 1.06h:+14 1.06h:+14 1.06h:+2 1.07h:+2 1.07h:-27 1.07h:+13 1.07h:+4 1.07h:+13 1.07h:+3 1.07h:+4 1.08h:+4 1.08h:+4 1.08h:+13 1.08h:+12 1.08h:+13 1.08h:+3 1.08h:+3 1.09h:+14 1.09h:+13 1.09h:+4 1.09h:+14 1.09h:+14 1.09h:+13 1.09h:-7 1.10h:+14 1.10h:+3 1.10h:+14 1.10h:-6 1.10h:-6 1.10h:+4 1.10h:+14 1.11h:+14 1.11h:+14 1.11h:+14 1.11h:+13 1.11h:+4 1.11h:+14 1.11h:-56 1.11h:+3 1.12h:-15 1.12h:+9 1.12h:+8 1.12h:+12 1.12h:-6 1.12h:-11 1.13h:+3 1.13h:+19 1.13h:+14 1.13h:+2 1.13h:+14 1.13h:-6 1.13h:-1 1.14h:-7 1.14h:+5 1.14h:+12 1.14h:+16 1.14h:+1 1.14h:+16 1.14h:+2 1.15h:-4 1.15h:+13 1.15h:+11 1.15h:+1 1.15h:+7 1.15h:-3 1.15h:-4 1.16h:-7 1.16h:-3 1.16h:+9 1.16h:-34 1.16h:-11 1.16h:+7 1.16h:-25 1.16h:-24 1.17h:-19 1.17h:-43 1.17h:-2 1.17h:+7 1.17h:+6 1.17h:+15 1.17h:-13 1.18h:+17 1.18h:-1 1.18h:-63 1.18h:-24 1.18h:-201 1.18h:-10 1.19h:+0 1.19h:-0 1.19h:+15 1.19h:-0 1.19h:+8 1.20h:+9 1.20h:-38 1.20h:-11 1.20h:-18 1.20h:-10 1.20h:-461 1.20h:-140 1.21h:-1755 1.21h:-829 1.21h:-1981 1.21h:+11 1.21h:-8 1.21h:-10 1.21h:-12 1.22h:-1119 1.22h:-2156 1.22h:-949 1.22h:+13 1.22h:+10 1.22h:-1 1.22h:-9 1.22h:-2 1.23h:+3 1.23h:+13 1.23h:+2 1.23h:+7 1.23h:+8 1.23h:+12 1.23h:-6 1.24h:+2 1.24h:-11 1.24h:+15 1.24h:-26 1.24h:+10 1.24h:+10 1.24h:+17 1.25h:+13 1.25h:+20 1.25h:+5 1.25h:+0 1.25h:+15 1.25h:+11 1.25h:+16 1.26h:+5 1.26h:+12 1.26h:+4 1.26h:-5 1.26h:+3 1.26h:-8 1.26h:+13 1.26h:-34 1.27h:-121 1.27h:-1207 1.27h:-1096 1.27h:-1574 1.27h:-89,309,0,9,4,215,832,0,,15.5,297,-17.6,0.6,19.7,,,,,0.0,-2,-94,OK-native,
SF08,2_20260901_002327.839,2026-09-01 00:23:27.839,11318.643,False,,,7,0,5,0,0,405,0,,7815.9,,,,,,,,,0.0,-94,,one-end-only,
SF08,3_20260901_054222.420,2026-09-01 05:42:22.420,124.992,False,,,4,0,4,1,112,1224,0,,7657.1,,,,,,,,,0.0,,,one-end-only,
SF08,0_20260901_075204.484,2026-09-01 07:52:04.484,51.61,False,,,1627,0,1627,1627,165,,0,,8.0,,,,,,,,,0.0,,,corrupt,
SF08,1_20260901_075304.063,2026-09-01 07:53:04.063,18186.406,False,,,17,0,11,6,1145,613,0,,11.4,16,-20.7,0.2,7.9,,,,,0.0,,+30,OK-native,
SF08,2_20260901_125621.840,2026-09-01 12:56:21.840,1918.797,False,2026-09-01 13:09:12:+2.549s@770s,,4,0,4,0,0,263,0,,6159.2,,,,,,,,,0.0,+31,,one-end-only,
SF08,3_20260901_151059.837,2026-09-01 15:10:59.837,191.142,False,,,5,0,5,0,34,9793,0,,940.7,,,,,,,,,0.0,,,one-end-only,
SF08,4_20260901_152951.697,2026-09-01 15:29:51.697,6212.877,False,,,18,0,12,6,41,580,0,,14.5,18,-18.1,1.1,12.8,,,,,0.0,,-3,OK-native,
SF08,5_20260901_171339.094,2026-09-01 17:13:39.094,4009.178,False,,,10,0,8,2,0,463,0,,4195.2,10,-19.2,1.7,7.7,,,,,0.0,-3,+241,OK-native,
SF08,6_20260901_193023.481,2026-09-01 19:30:23.481,37.094,False,,,8,0,8,8,442,627,9,next:9,8.9,,,,,,,57.8,25490.3,58.8,+241,+3,OK-chained,
SF08,7_20260901_193109.475,2026-09-01 19:31:09.475,14444.109,False,,,10,0,9,1,1149,630,9,next:9,45.7,,,,,,,-20.3,103.4,14504.1,+3,,OK-chained,
SF08,8_20260901_233239.239,2026-09-01 23:32:39.239,24700.71,True,,,17,0,9,8,370,336,0,,12.1,16,-20.3,0.1,5.1,,,,,0.0,-6,+17,OK-native,
SF08,9_20260902_062432.012,2026-09-02 06:24:32.012,3939.149,False,,,7,0,6,1,1316,-146,0,,2043.1,,,,,,,,,0.0,+17,,one-end-only,
SF08,11_20260902_080414.269,2026-09-02 08:04:14.269,6.733,False,,,3,0,3,3,248,850,0,,1323.1,,,,,,,,,0.0,+1072,+130,one-end-only,
SF08,12_20260902_082624.125,2026-09-02 08:26:24.125,75.994,False,,,16,0,16,16,289,980,10,next:10,8.0,,,,,,,-9.7,14745.5,101.7,+131,-1,OK-chained,
SF08,13_20260902_082748.094,2026-09-02 08:27:48.094,35555.699,False,,3.41h:-1 3.42h:-0 3.42h:-10 3.42h:+9 3.42h:+5 3.42h:+4 3.42h:+11 3.42h:-0 3.42h:+12 3.43h:-4 3.43h:+4 3.43h:+3 3.43h:+2 3.43h:+8 3.43h:-17 3.43h:-4 3.44h:+5 3.44h:+7 3.44h:-3 3.44h:+6 3.44h:+4 3.44h:-3 3.44h:+4 3.45h:-12 3.45h:+9 3.45h:+8 3.45h:-11 3.45h:+3 3.45h:+5 3.45h:+14 3.46h:-6 3.46h:-0 3.46h:-13 3.46h:+6 3.46h:-1 3.46h:-11 3.46h:+8 3.47h:+6 3.47h:-5 3.47h:+5 3.47h:+7 3.47h:-10 3.47h:-7 3.47h:-0 3.47h:-11 3.48h:+8 3.48h:+3 3.48h:-9 3.48h:+9 3.48h:+0 3.48h:-5 3.48h:+9 3.49h:+2 3.49h:-11 3.49h:+7 3.49h:-1 3.49h:-2 3.49h:-1 3.49h:+4 3.50h:-8 3.50h:+0 3.50h:+1 3.50h:-21 3.50h:+4 3.50h:+2 3.50h:-7 3.51h:-1 3.51h:+13 3.51h:-11 3.51h:-1 3.51h:+12 3.51h:-1 3.51h:+1 3.52h:+13 3.52h:-1 3.52h:+4 3.52h:-12 3.52h:+5 3.52h:+4 3.52h:+11 3.52h:+8 3.53h:+2 3.53h:-17 3.53h:+5 3.53h:-1 3.53h:-15 3.53h:-0 3.53h:+4 9.88h:-20,104,0,10,5,72,979,0,,1021.4,102,-19.0,0.1,7.7,1.39,0.7,,,0.0,-1,,"OK-native [last touch 8.5 h, tail 1.4 h extrapolated]",
SF08,14_20260902_183725.225,2026-09-02 18:37:25.225,2.56,False,,,1,0,1,1,45,-524,0,,251.5,,,,,,,,,0.0,,,no-anchors,
SF08,15_20260902_184139.248,2026-09-02 18:41:39.248,34.675,False,,,3,0,3,3,31,806,0,,1188.7,,,,,,,,,0.0,+1330,-490,one-end-only,
SF08,16_20260902_190202.601,2026-09-02 19:02:02.601,30.643,False,,,7,0,7,7,1401,317,9,next:9,8.7,,,,,,,-11.1,28661.1,52.3,-490,-1,OK-chained,
SF08,17_20260902_190241.916,2026-09-02 19:02:41.916,39458.138,True,,4.86h:+6 4.86h:-4 4.86h:+3 4.87h:-172 5.30h:+4 5.30h:+5 5.30h:-13 5.60h:-13 5.60h:-1465 5.60h:-17 5.61h:-8,36,0,9,16,1057,316,0,,10.1,33,-20.7,0.1,10.3,,,,,0.0,-1,+10,OK-native,
SF08,18_20260903_060030.122,2026-09-03 06:00:30.122,2650.266,False,,,39,0,15,24,28,-493,0,,1642.5,39,-23.3,2.1,15.8,,,,,0.0,+10,-152757,OK-native,
SF08,0_20260903_071202.892,2026-09-03 07:12:02.892,8.064,False,,,4,0,4,4,125,-153305,0,,2451.5,,,,,,,,,0.0,-152757,+153854,one-end-only,
SF08,1_20260903_075302.441,2026-09-03 07:53:02.441,41.792,False,,,9,0,9,9,1514,549,14,next:14,8.7,,,,,,,11.5,18839.9,79.6,+153854,+1,OK-chained,
SF08,2_20260903_075352.907,2026-09-03 07:53:52.907,29051.661,False,2026-09-03 13:56:01:+1.280s@21728s,6.66h:-18 6.66h:+4 6.66h:-1 6.66h:+6 6.67h:+6 6.67h:+10 6.67h:+9 6.67h:+7 6.67h:+5 6.67h:+10 6.67h:+17 6.68h:-0 6.68h:+3 6.68h:-9 6.68h:+13 6.68h:-65 6.68h:-20 6.68h:-1 6.69h:+10 6.69h:+6 6.69h:+3 6.69h:+10 6.69h:-0 6.69h:+4 6.69h:-7 6.70h:-80 6.70h:+4 6.70h:-7 6.70h:-7 6.70h:+12 6.70h:-2 6.70h:-14 6.70h:-14 6.71h:-8 6.71h:+7 6.71h:+5 6.71h:+12,67,0,14,16,0,550,0,,301.9,67,-17.4,0.2,15.1,,,,,0.0,+1,+1950,OK-native (PC step modelled),
SF08,3_20260903_160306.510,2026-09-03 16:03:06.510,1479.834,False,,,18,0,16,0,1395,1999,0,,2895.0,,,,,,,,,0.0,+1950,,one-end-only,
SF08,0_20260903_171601.361,2026-09-03 17:16:01.361,4.838,False,,,3,0,3,3,32,864,0,,2279.8,,,,,,,,,0.0,,-489,one-end-only,
SF08,1_20260903_175406.043,2026-09-03 17:54:06.043,40.013,False,,,9,0,9,9,41,375,15,next:15,7.6,,,,,,,-17.9,19584.0,76.6,-489,-1,OK-chained,
SF08,2_20260903_175453.625,2026-09-03 17:54:53.625,49128.55,True,,6.12h:+4 6.12h:+15 6.12h:-0 6.12h:+10 6.12h:+2 6.13h:+3 6.13h:+8 6.13h:+11 6.13h:+3 6.13h:+4 6.13h:-3 6.13h:+8 6.14h:+16 6.14h:+8 6.14h:+7 6.14h:+5 6.14h:+7 6.14h:+6 6.14h:-3 6.14h:+15 6.15h:+3 6.15h:-16 6.15h:-7 6.15h:+7 6.15h:-1 6.15h:+5 6.15h:+1,56,0,15,14,572,373,0,,2259.1,55,-20.0,0.1,11.7,,,,,0.0,-1,+1359,OK-native,
SF08,3_20260904_081121.301,2026-09-04 08:11:21.301,37.517,False,,,9,0,9,9,1278,741,15,next:15,6.7,,,,,,,-11.4,20670.6,72.6,+1359,-1,OK-chained,
SF08,4_20260904_081205.535,2026-09-04 08:12:05.535,40706.419,False,,4.55h:-1 4.55h:+3 4.55h:-15 4.56h:-8 4.56h:+10 4.56h:+11 4.56h:-2 4.56h:-2 4.56h:+5 4.56h:-4 4.56h:+4 4.57h:-16 4.57h:-20 4.57h:+5 4.57h:-18 4.57h:+1 4.57h:+14 4.57h:+7 4.58h:-5 4.58h:+11 4.58h:-4 4.58h:+2 4.58h:-6 4.58h:+3 8.11h:+5 8.11h:+6 8.11h:+5 8.11h:+10 8.12h:+6 8.12h:+3 8.12h:+8 8.12h:+2 8.12h:+7 8.12h:+10 8.12h:+7 8.13h:+7 8.13h:+13 8.13h:+4 8.13h:+1 8.13h:+1 8.13h:-5 8.13h:+9 8.14h:+10 8.14h:-2 8.14h:-6 9.58h:+3 9.59h:+3 9.59h:-6 9.59h:-2 9.59h:+4 9.59h:+7 9.59h:-1 9.59h:-8 9.59h:-7 9.60h:-4 9.60h:-3 9.60h:+3 9.60h:-3 9.60h:+5,89,0,15,15,895,741,0,,1436.6,88,-18.9,0.1,8.3,,,,,0.0,-1,-866,OK-native,
SF08,5_20260904_195428.533,2026-09-04 19:54:28.533,3.891,False,,,2,0,2,2,763,-897,0,,1529.0,,,,,,,,,0.0,,+1633,one-end-only,
SF08,6_20260904_202001.469,2026-09-04 20:20:01.469,47.68,False,,,11,0,11,11,27,736,14,next:14,7.6,,,,,,,-22.3,17743.7,84.5,+1633,-2,OK-chained,
SF08,7_20260904_202056.765,2026-09-04 20:20:56.765,44177.907,True,,4.27h:-5 4.27h:+10 4.27h:+20 4.27h:+15 4.28h:-44 4.28h:-27 4.28h:-8 4.28h:-66 4.28h:-13 4.28h:-58 4.28h:-2 4.29h:-6 4.29h:-2 4.29h:-14 4.29h:-6 4.29h:-3 4.29h:-4 4.29h:-7 10.79h:+12 10.79h:-36 10.79h:+23 10.79h:-9 10.79h:+13 10.80h:-10 10.80h:-7 10.80h:-22 10.80h:-9 10.80h:+13 10.80h:-11 10.80h:-32 10.81h:-14 10.81h:-5 10.81h:-13 10.81h:-10 10.81h:-50 11.69h:-2 11.69h:+30 11.69h:+10 11.69h:+30 11.70h:+7 11.70h:+23 11.70h:+29 11.70h:+19 11.70h:-4 11.70h:+27 11.70h:+16 11.70h:-2 11.71h:-15 11.71h:+1 11.71h:-4 11.71h:-5,79,0,14,14,0,734,0,,1551.2,79,-19.8,0.1,19.0,,,,,0.0,-2,+605,OK-native,
SF08,0_20260905_090305.847,2026-09-05 09:03:05.847,3.226,False,,,3,0,3,3,205,457,0,,1905.7,,,,,,,,,0.0,+605,+208,one-end-only,
SF08,1_20260905_093454.761,2026-09-05 09:34:54.761,32.435,False,,,8,0,8,8,27,665,15,next:15,7.6,,,,,,,-100.4,21238.4,70.6,+208,-8,OK-chained,
SF08,2_20260905_093534.819,2026-09-05 09:35:34.819,30487.45,False,,4.74h:+5 4.74h:-4 4.74h:+14 4.75h:-17 4.75h:+11 4.75h:+17 4.75h:-24 4.75h:+1 4.75h:+1 4.75h:+15 4.76h:+7 4.76h:+1 4.76h:+12 4.76h:+8 4.76h:+11 7.81h:+3 7.81h:+15 7.81h:+10 7.81h:+13 7.81h:+9 7.81h:+17 7.81h:+6 7.81h:+3 7.82h:+14 7.82h:+8 7.82h:+11 7.82h:+2 7.82h:+11 7.82h:+2 7.82h:+13,59,0,15,14,0,657,0,,1181.8,58,-18.2,0.2,19.6,,,,,0.0,-8,-1871,OK-native,
SF08,0_20260905_182324.045,2026-09-05 18:23:24.045,6.451,False,,,3,0,3,3,951,-1758,0,,1608.9,,,,,,,,,0.0,-1871,+2453,one-end-only,
SF08,1_20260905_185019.429,2026-09-05 18:50:19.429,34.547,False,,,8,0,8,8,26,695,17,next:17,10.6,,,,,,,-11.6,18403.6,81.5,+2453,-1,OK-chained,
SF08,2_20260905_185104.563,2026-09-05 18:51:04.563,43469.363,True,,5.55h:-21 5.55h:+12 5.55h:-2 5.55h:+15 5.55h:+2 5.55h:-1 5.55h:+11 5.55h:+9 5.56h:+18 5.56h:+17 5.56h:-13 5.56h:+4 5.56h:+13 5.56h:+7 5.56h:+4 5.57h:+18 5.57h:-22 5.57h:-97 5.57h:-33 5.57h:-13,51,0,17,14,0,695,0,,2516.2,51,-20.3,0.2,18.0,,,,,0.0,-1,-1603,OK-native,
SF08,3_20260906_073730.115,2026-09-06 07:37:30.115,2.56,False,,,1,0,1,1,0,-1790,0,,1213.1,,,,,,,,,0.0,,,no-anchors,
SF08,4_20260906_075745.756,2026-09-06 07:57:45.756,50.534,False,,,11,0,11,11,23,538,7,next:7,9.2,,,,,,,-102.7,21073.0,71.2,+2328,-7,OK-chained,
SF08,5_20260906_075845.465,2026-09-06 07:58:45.465,31.45,False,,,7,0,7,7,0,531,14,next:14,10.6,,,,,,,24.1,21746.3,69.0,-7,+2,OK-chained,
SF08,6_20260906_075927.555,2026-09-06 07:59:27.555,39781.952,False,,7.56h:+21 7.56h:+15 7.56h:-7 7.56h:-2 7.56h:-1 7.56h:-6 7.57h:+21 7.57h:-2 7.57h:-16 7.57h:+13 7.57h:-2 7.57h:-16 7.57h:-68 7.57h:+19 7.58h:-6 7.58h:-5 7.58h:-0,46,0,14,15,382,533,0,,1165.3,45,-19.0,0.2,17.2,,,,,0.0,+2,-650,OK-native,
SF08,7_20260906_192154.815,2026-09-06 19:21:54.815,2.752,False,,,1,0,1,1,263,-873,0,,1248.5,,,,,,,,,0.0,,,no-anchors,
SF08,8_20260906_194246.031,2026-09-06 19:42:46.031,38.451,False,,,9,0,9,9,30,65,15,next:15,9.0,,,,,,,-70.7,19522.2,76.8,+938,-7,OK-chained,
SF08,9_20260906_194333.465,2026-09-06 19:43:33.465,44664.371,True,,4.02h:+1 4.02h:-14 4.02h:-7 4.03h:-6 4.03h:-28 4.03h:-29 4.03h:-6 4.03h:-11 4.03h:-23 4.03h:-9 4.04h:-15 4.04h:-9 4.04h:-6 4.04h:-15 4.04h:-4 4.04h:-29 4.04h:-12 4.05h:-9 4.05h:-70 4.05h:-13 4.05h:-11 10.98h:+9 10.99h:-16 10.99h:+15 10.99h:+8 10.99h:-12 10.99h:-15 10.99h:-7 10.99h:-10 11.00h:-14 11.00h:+16 11.00h:-17 11.00h:-22 11.00h:-7 11.00h:-15 11.00h:+15 11.01h:+15 11.01h:-15 11.01h:-13 11.01h:-10 12.24h:+21 12.24h:-4 12.24h:+4 12.24h:-11 12.24h:+12 12.24h:-1 12.25h:+25 12.25h:+12 12.25h:+8 12.25h:+12 12.25h:+13 12.25h:-3 12.25h:+33 12.25h:+18,89,0,15,20,0,58,0,,1299.1,88,-20.3,0.1,17.6,,,,,0.0,-7,,OK-native,
SF08,0_20260907_082936.983,2026-09-07 08:29:36.983,9.677,False,,,1842,0,1842,1842,82,,0,,1487.6,,,,,,,,,0.0,,,corrupt,
SF08,1_20260907_085434.285,2026-09-07 08:54:34.285,50.918,False,,,11,0,11,11,1093,623,16,next:16,9.5,,,,,,,19.1,16584.5,90.4,,+2,OK-chained,
SF08,2_20260907_085534.719,2026-09-07 08:55:34.719,28813.261,False,,4.38h:+4 4.38h:+6 4.38h:+22 4.39h:+25 4.39h:+8 4.39h:-12 4.39h:-7 4.39h:+21 4.39h:-8 4.39h:-6 4.40h:+14 4.40h:-12 4.40h:-16 4.40h:+23,46,0,16,16,1320,625,0,,1303.6,45,-18.2,0.1,10.7,,,,,0.0,+2,,OK-native,
SF08,0_20260907_171731.629,2026-09-07 17:17:31.629,8.064,False,,,1986,0,1986,1986,109,,0,,1969.2,,,,,,,,,0.0,,,corrupt,
SF08,1_20260907_175028.925,2026-09-07 17:50:28.925,36.262,False,,,9,0,9,9,1435,725,16,next:16,8.2,,,,,,,-69.5,20066.1,74.8,,-5,OK-chained,
SF08,2_20260907_175113.385,2026-09-07 17:51:13.385,45529.626,True,,5.67h:-11 5.68h:+21 5.68h:-138 5.68h:+24 5.68h:+24 5.68h:+25 5.68h:+35 5.68h:+14 5.69h:+22 5.69h:-31 5.69h:-23 5.69h:+25 5.69h:-2070 5.69h:+16 5.69h:+23 5.70h:-17 5.70h:+15 12.53h:+20 12.53h:-40 12.54h:+1 12.54h:-27 12.54h:+28 12.54h:+16 12.54h:-4 12.54h:-3 12.54h:+12 12.55h:+3 12.55h:-16 12.55h:-18 12.55h:-11 12.55h:+18,62,0,16,15,1171,720,0,,1324.6,60,-21.1,0.2,23.9,,,,,0.0,-5,+464,OK-native,
SF08,3_20260908_065207.638,2026-09-08 06:52:07.638,3.482,False,,,1,0,1,1,28,224,0,,1482.3,,,,,,,,,0.0,,,no-anchors,
SF08,4_20260908_071653.373,2026-09-08 07:16:53.373,50.662,False,,,11,0,11,11,781,247,22,next:22,10.3,,,,,,,-4.9,14135.6,106.1,+23,-0,OK-chained,
