animal,time,session,hours_since_move1,hours_since_move2,log_gamma_median,log_gamma_shank1_median,log_gamma_shank2_median,log_gamma_shank3_median,log_gamma_shank4_median,log_gamma_r_vs_ref1,log_gamma_shift_vs_ref1,log_gamma_shank_r_vs_ref1,log_gamma_r_vs_ref2,log_gamma_shift_vs_ref2,log_gamma_shank_r_vs_ref2,log_ripple_median,log_ripple_shank1_median,log_ripple_shank2_median,log_ripple_shank3_median,log_ripple_shank4_median,log_ripple_r_vs_ref1,log_ripple_shift_vs_ref1,log_ripple_shank_r_vs_ref1,log_ripple_r_vs_ref2,log_ripple_shift_vs_ref2,log_ripple_shank_r_vs_ref2,log_theta_median,log_theta_shank1_median,log_theta_shank2_median,log_theta_shank3_median,log_theta_shank4_median,log_theta_r_vs_ref1,log_theta_shift_vs_ref1,log_theta_shank_r_vs_ref1,log_theta_r_vs_ref2,log_theta_shift_vs_ref2,log_theta_shank_r_vs_ref2,mua_rate_hz_median,mua_rate_hz_shank1_median,mua_rate_hz_shank2_median,mua_rate_hz_shank3_median,mua_rate_hz_shank4_median,mua_rate_hz_r_vs_ref1,mua_rate_hz_shift_vs_ref1,mua_rate_hz_shank_r_vs_ref1,mua_rate_hz_r_vs_ref2,mua_rate_hz_shift_vs_ref2,mua_rate_hz_shank_r_vs_ref2,spike_band_mad_adc_median,spike_band_mad_adc_shank1_median,spike_band_mad_adc_shank2_median,spike_band_mad_adc_shank3_median,spike_band_mad_adc_shank4_median,spike_band_mad_adc_r_vs_ref1,spike_band_mad_adc_shift_vs_ref1,spike_band_mad_adc_shank_r_vs_ref1,spike_band_mad_adc_r_vs_ref2,spike_band_mad_adc_shift_vs_ref2,spike_band_mad_adc_shank_r_vs_ref2
SF07,2026-09-05 06:30,14_20260904_201825.406,16.48,-7.02,2.62,2.719,2.661,2.589,2.609,0.906,+0 +0 +0 +0,+0.83 +0.81 +0.92 +0.68,0.925,+0 +0 +0 +2,+0.85 +0.92 +0.86 +0.38,1.52,1.604,1.577,1.483,1.471,0.858,+0 +0 -2 -3,+0.90 +0.52 +0.69 +0.87,0.907,+0 +0 +0 +0,+0.91 +0.84 +0.72 +0.92,4.69,4.702,4.704,4.685,4.665,0.38,+2 +0 +0 +3,+0.35 +0.91 +0.92 +0.61,0.45,+2 +0 +0 -1,+0.35 +0.97 +0.99 +0.92,0.945,0.944,0.915,0.947,0.974,-0.01,-3 +0 +3 +3,-0.16 +0.10 +0.25 -0.13,0.105,-2 +0 -3 +2,+0.01 +0.49 +0.24 -0.24,80.051,80.931,81.935,79.697,78.121,0.165,+0 -3 +3 +3,+0.16 -0.01 +0.31 +0.01,0.465,+0 +0 +0 -1,+0.50 +0.69 +0.63 +0.37
SF07,2026-09-05 07:30,14_20260904_201825.406,17.48,-6.02,2.617,2.712,2.645,2.583,2.588,0.922,+0 +0 +0 +0,+0.85 +0.82 +0.93 +0.58,0.938,+0 +0 +0 +2,+0.86 +0.91 +0.92 +0.37,1.136,1.23,1.205,1.102,1.079,0.793,+0 +0 -2 +0,+0.96 +0.33 +0.77 +0.90,0.862,+0 +0 +0 +2,+0.96 +0.68 +0.81 +0.90,4.817,4.837,4.833,4.798,4.79,0.445,+2 +0 +0 -1,+0.36 +0.68 +0.19 +0.05,0.35,+2 +0 +3 -1,+0.34 +0.54 -0.16 -0.37,-1.216,-0.189,-1.569,-1.287,-1.233,0.483,-3 +0 +3 +0,+0.20 +0.67 +0.13 +0.36,0.585,+0 +0 -3 +2,+0.60 +0.69 +0.12 +0.04,41.882,42.942,42.715,41.64,40.416,0.238,+0 -3 +3 +3,+0.45 -0.03 +0.35 +0.16,0.53,+0 +0 +0 -1,+0.58 +0.66 +0.58 -0.10
SF07,2026-09-05 08:30,14_20260904_201825.406,18.48,-5.02,2.645,2.76,2.674,2.606,2.602,0.948,+0 +0 +0 +0,+0.89 +0.88 +0.96 +0.78,0.96,+0 +0 +0 +0,+0.90 +0.95 +0.92 +0.53,1.394,1.466,1.456,1.374,1.36,0.835,+0 +0 +0 +0,+0.93 +0.42 +0.78 +0.93,0.884,+0 +0 +0 +2,+0.93 +0.75 +0.72 +0.87,4.725,4.745,4.747,4.712,4.706,0.542,+0 +0 +0 -1,+0.57 +0.64 +0.08 -0.06,0.426,+0 +0 +3 -1,+0.55 +0.50 -0.27 -0.65,-1.066,0.218,-1.287,-1.287,-1.12,0.559,-3 +0 +3 -2,+0.35 +0.61 +0.14 +0.38,0.676,+0 +0 -3 +0,+0.65 +0.83 +0.08 +0.38,39.68,40.456,41.412,38.648,38.538,0.183,+2 -3 +0 +0,+0.44 -0.13 +0.23 +0.41,0.467,+0 +0 -3 +3,+0.77 +0.63 +0.28 -0.13
SF07,2026-09-05 10:30,2_20260905_093310.289,20.48,-3.02,2.652,2.8,2.683,2.62,2.632,0.981,+0 +0 +0 +0,+0.99 +0.93 +0.87 +0.65,0.99,+0 +0 +0 -1,+1.00 +0.98 +0.87 +0.51,1.189,1.424,1.291,1.111,1.095,0.927,+0 +0 +0 -3,+0.99 +0.77 +0.75 +0.79,0.96,+0 +0 +0 -1,+0.99 +0.95 +0.72 +0.88,4.658,4.688,4.663,4.645,4.634,0.961,+0 +0 +0 +2,+0.97 +0.95 +0.96 +0.80,0.976,+0 +0 +0 +0,+0.97 +0.92 +0.98 +0.97,-1.216,0.535,-1.569,-1.569,-1.287,0.78,+0 +0 +0 +0,+0.71 +0.64 +0.77 +0.47,0.787,+0 +0 +0 -1,+0.74 +0.86 +0.17 +0.38,40.782,42.352,39.855,38.909,40.916,0.246,+2 +0 +0 -3,+0.02 +0.10 +0.40 +0.24,0.674,+0 +0 +0 -1,+0.87 +0.78 +0.58 +0.22
SF07,2026-09-05 11:30,2_20260905_093310.289,21.48,-2.02,2.651,2.815,2.683,2.612,2.614,0.988,+0 +0 +0 +0,+0.99 +0.93 +0.93 +0.74,0.995,+0 +0 +0 +0,+1.00 +0.99 +0.92 +0.76,1.538,1.627,1.578,1.513,1.5,0.936,+0 +0 +0 -3,+0.98 +0.74 +0.79 +0.85,0.969,+0 +0 +0 +0,+0.98 +0.96 +0.81 +0.95,4.52,4.55,4.525,4.506,4.498,0.963,+0 +0 +0 +2,+0.96 +0.93 +0.92 +0.80,0.989,+0 +0 +0 +0,+0.99 +0.96 +0.98 +0.97,0.663,0.661,0.704,0.711,0.621,0.198,+2 +3 +0 -3,+0.26 -0.16 +0.50 -0.25,0.281,+0 +0 -3 -1,+0.63 +0.25 -0.25 -0.09,74.419,77.122,73.055,70.777,74.185,0.201,+2 +0 +3 -3,-0.10 +0.10 +0.34 -0.12,0.691,+0 +0 +0 +0,+0.62 +0.82 +0.54 +0.61
SF07,2026-09-05 12:30,2_20260905_093310.289,22.48,-1.02,2.61,2.776,2.655,2.573,2.587,0.988,+0 +0 +0 +0,+0.99 +0.94 +0.85 +0.62,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,1.257,1.42,1.317,1.177,1.152,0.933,+0 +0 -2 -3,+0.97 +0.85 +0.57 +0.81,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,4.624,4.656,4.628,4.608,4.598,0.954,+0 +0 +0 +2,+0.99 +0.96 +0.93 +0.68,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,-1.216,0.263,-1.464,-1.569,-1.464,0.704,-1 +0 +3 +1,+0.60 +0.55 +0.02 +0.15,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,42.991,43.34,41.431,37.971,43.362,0.279,+2 +0 -2 -3,+0.11 +0.41 +0.25 -0.26,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00
SF07,2026-09-05 14:30,6_20260905_133118.469,24.48,0.98,2.67,2.84,2.705,2.615,2.62,0.984,+0 +0 +0 -2,+0.99 +0.92 +0.90 +0.57,0.993,+0 +0 +0 -2,+1.00 +0.98 +0.94 +0.64,1.491,1.611,1.529,1.441,1.413,0.93,+0 +0 +0 +0,+0.97 +0.68 +0.76 +0.86,0.964,+0 +0 +0 +0,+0.97 +0.93 +0.88 +0.91,4.595,4.624,4.601,4.58,4.577,0.982,+0 +0 +0 +2,+0.98 +0.95 +0.97 +0.88,0.978,+0 +0 +0 +0,+1.00 +0.95 +0.92 +0.94,1.152,1.163,1.093,1.179,1.139,0.237,-2 +3 -2 +3,+0.37 +0.00 -0.08 +0.26,0.361,+0 +0 -2 +2,+0.68 +0.34 +0.16 -0.22,60.118,62.106,59.902,56.972,59.636,0.173,+2 -3 -2 +3,-0.16 +0.06 +0.15 -0.00,0.721,+0 +0 +0 -3,+0.66 +0.85 +0.77 +0.10
SF07,2026-09-05 15:30,6_20260905_133118.469,25.48,1.98,2.673,2.844,2.696,2.614,2.615,0.982,+0 +0 +0 -2,+0.99 +0.92 +0.87 +0.60,0.991,+0 +0 +0 -2,+0.99 +0.98 +0.92 +0.53,1.126,1.341,1.189,1.018,0.983,0.908,+0 +0 +0 +0,+0.95 +0.62 +0.76 +0.87,0.952,+0 +0 +0 +0,+0.96 +0.89 +0.88 +0.88,4.654,4.693,4.661,4.64,4.627,0.978,+0 +0 +0 +0,+0.99 +0.96 +0.97 +0.91,0.943,+0 +0 +0 -3,+0.98 +0.98 +0.86 +0.88,-1.023,-0.164,-1.19,-1.023,-1.023,0.539,-3 +1 -2 +0,+0.33 +0.04 -0.14 +0.43,0.624,+2 +0 +0 +2,+0.39 +0.42 +0.53 +0.07,44.913,48.931,44.411,41.981,44.411,0.128,+2 -3 -2 +3,-0.27 -0.06 +0.14 +0.14,0.662,+0 +0 +0 -3,+0.71 +0.71 +0.71 +0.09
SF07,2026-09-05 16:30,6_20260905_133118.469,26.48,2.98,2.685,2.843,2.706,2.634,2.635,0.985,+0 +0 +0 +0,+0.99 +0.91 +0.89 +0.74,0.992,+0 +0 +0 +0,+1.00 +0.98 +0.91 +0.78,1.212,1.39,1.263,1.119,1.113,0.912,+0 +0 +0 +0,+0.97 +0.67 +0.82 +0.93,0.948,+0 +0 +0 +0,+0.96 +0.92 +0.80 +0.87,4.714,4.755,4.729,4.689,4.689,0.844,+0 +0 +0 -3,+0.97 +0.65 +0.13 +0.15,0.696,+0 +0 +1 -3,+0.94 +0.52 -0.21 -0.57,-1.358,-0.343,-1.569,-1.569,-1.358,0.607,+2 -2 +2 -2,+0.51 +0.03 -0.26 +0.24,0.701,+2 +0 +0 -1,+0.49 +0.47 +0.73 +0.22,46.447,52.08,45.709,42.567,46.353,0.054,+2 -3 -2 +3,-0.44 -0.05 +0.09 +0.13,0.507,+0 +0 +0 -3,+0.48 +0.75 +0.33 +0.03
SF07,2026-09-05 17:30,6_20260905_133118.469,27.48,3.98,2.711,2.878,2.743,2.659,2.663,0.984,+0 +0 +0 +0,+0.99 +0.91 +0.90 +0.75,0.991,+0 +0 +0 +0,+0.99 +0.98 +0.90 +0.70,1.294,1.461,1.369,1.228,1.201,0.921,+0 +0 +0 +0,+0.96 +0.63 +0.75 +0.91,0.945,+0 +0 +0 +0,+0.96 +0.87 +0.77 +0.89,4.586,4.624,4.592,4.573,4.561,0.977,+0 +0 +0 +2,+0.97 +0.93 +0.97 +0.87,0.976,+0 +0 +0 +0,+0.99 +0.96 +0.92 +0.93,0.921,0.94,0.856,0.971,0.912,0.132,+2 +1 -2 +0,+0.15 -0.19 -0.25 +0.30,0.285,+0 +0 +2 -1,+0.48 +0.20 +0.03 -0.18,52.868,55.613,52.272,49.599,52.808,0.121,+2 -3 -2 +0,-0.23 -0.02 -0.07 +0.27,0.576,+0 +0 -2 +0,+0.53 +0.75 +0.22 +0.17
SF07,2026-09-06 12:44,1_20260906_123931.995,46.73,23.22,2.747,2.929,2.798,2.697,2.677,0.96,+0 +0 +0 +0,+0.99 +0.88 +0.70 +0.77,0.968,+0 +0 +0 +0,+0.99 +0.92 +0.76 +0.66,2.232,2.267,2.243,2.218,2.211,0.943,+0 +0 +0 +0,+0.95 +0.75 +0.83 +0.88,0.932,+0 +0 +0 +2,+0.94 +0.87 +0.79 +0.84,4.429,4.475,4.459,4.401,4.407,0.556,+0 -1 +2 -2,+0.87 +0.36 -0.20 -0.08,0.351,+0 -1 +3 -2,+0.79 +0.19 -0.52 -0.76,0.962,0.917,0.962,0.982,0.97,-0.346,-1 +3 -2 +0,+0.05 -0.60 -0.46 +0.51,-0.445,-1 +3 +2 +3,-0.37 -0.38 -0.12 +0.10,96.913,100.387,96.199,95.224,94.59,-0.035,+3 +3 -2 +0,-0.62 -0.29 -0.15 +0.26,0.229,+1 +0 -2 +1,+0.07 +0.34 +0.11 -0.13
SF11,2026-09-04 08:30,7_20260904_082050.456,-5.45,-30.69,3.131,3.138,3.037,3.503,3.064,-0.428,+3 -3 -3 +2,-0.15 +0.15 -0.52 -0.44,-0.278,+3 -3 +2 +2,-0.13 +0.12 -0.09 -0.18,2.271,2.293,2.11,2.766,2.281,0.182,-2 -3 +2 +0,-0.01 +0.01 +0.01 +0.60,0.306,-2 -3 +2 +0,+0.15 +0.00 +0.20 +0.70,4.553,4.489,4.531,4.6,4.566,-0.142,+0 +0 -1 +2,+0.57 +0.66 -0.28 -0.07,-0.068,+3 +0 +2 +1,+0.51 +0.56 -0.00 -0.22,0.127,0.179,0.138,0.046,0.087,0.121,+0 +1 +0 +0,+0.35 -0.30 +0.66 +0.47,-0.129,-3 +1 -1 +0,+0.17 -0.51 +0.01 +0.43,76.463,73.008,76.871,75.933,81.079,0.668,+0 +0 +0 +0,+0.80 +0.49 +0.79 +0.88,0.606,+2 +0 +0 +0,+0.25 +0.69 +0.67 +0.47
SF11,2026-09-04 09:30,7_20260904_082050.456,-4.45,-29.69,2.734,2.699,2.749,2.686,2.75,0.971,+0 +0 +0 +0,+0.99 +0.98 +0.97 +0.96,0.796,+0 +0 +0 +0,+0.94 +0.99 +0.66 +0.90,1.212,1.17,1.219,1.23,1.307,0.955,+0 +0 +0 +0,+0.94 +0.87 +0.97 +0.96,0.928,+0 +0 +0 +0,+0.88 +0.96 +0.94 +0.93,4.791,4.755,4.825,4.745,4.813,0.98,+0 +0 +0 +0,+0.99 +0.96 +0.98 +0.98,0.779,+0 +0 +0 +0,+0.90 +0.88 +0.72 +0.74,-0.837,-1.569,-1.358,-1.19,0.51,0.207,+2 +1 -3 +0,+0.15 -0.15 +0.26 +0.36,0.093,-3 -3 +0 +0,-0.04 -0.40 +0.31 +0.47,44.341,42.182,44.431,48.261,48.722,0.926,+0 +0 +0 +0,+0.63 +0.89 +0.91 +0.94,0.705,-3 +0 +0 +0,+0.25 +0.95 +0.48 +0.80
SF11,2026-09-04 10:30,7_20260904_082050.456,-3.45,-28.69,2.668,2.631,2.693,2.62,2.674,0.988,+0 +0 +0 +0,+0.99 +0.98 +1.00 +0.98,0.828,+0 +0 +0 +0,+0.96 +0.99 +0.68 +0.92,1.135,1.087,1.133,1.133,1.264,0.977,+0 +0 +0 +0,+0.96 +0.94 +0.99 +0.97,0.904,+0 +0 +0 +0,+0.88 +0.87 +0.91 +0.96,4.807,4.775,4.814,4.772,4.834,0.962,+0 +0 +0 +0,+0.95 +0.87 +0.98 +0.68,0.81,+0 +0 +0 +0,+0.82 +0.94 +0.78 +0.63,-0.988,-1.464,-1.287,-1.162,0.529,0.247,-1 -3 -3 +0,+0.09 -0.00 +0.18 +0.52,0.173,-3 -3 +0 -2,-0.12 -0.23 +0.45 +0.49,44.24,41.349,44.085,48.239,47.966,0.919,+0 +0 +0 +0,+0.74 +0.93 +0.92 +0.90,0.721,-3 +0 +0 +0,+0.35 +0.89 +0.52 +0.80
SF11,2026-09-04 11:30,7_20260904_082050.456,-2.45,-27.69,2.77,2.719,2.783,2.728,2.789,0.973,+0 +0 +0 +0,+0.99 +0.99 +0.99 +0.96,0.812,+0 +0 +0 +0,+0.92 +0.99 +0.72 +0.88,1.173,1.132,1.169,1.205,1.262,0.944,+0 +0 +0 +0,+0.90 +0.84 +0.99 +0.95,0.928,+0 +0 +0 +0,+0.87 +0.94 +0.96 +0.92,4.669,4.663,4.717,4.583,4.71,0.904,+0 +0 +0 +0,+0.97 +0.93 +0.93 +0.97,0.702,+0 +0 +0 +0,+0.93 +0.83 +0.61 +0.81,-0.988,-1.464,-1.023,-1.216,0.244,0.248,+2 -3 +0 +0,+0.18 -0.34 +0.30 +0.48,0.094,-3 -3 +0 +0,-0.19 -0.66 +0.49 +0.42,47.556,43.985,47.35,52.123,55.15,0.954,+0 +0 +0 +0,+0.89 +0.94 +0.98 +0.88,0.727,+1 +0 +0 +0,+0.27 +0.91 +0.75 +0.67
SF11,2026-09-04 12:30,7_20260904_082050.456,-1.45,-26.69,2.688,2.639,2.696,2.67,2.696,0.992,+0 +0 +0 +0,+1.00 +1.00 +0.99 +0.98,0.835,+0 +0 +0 +0,+0.96 +0.99 +0.74 +0.91,1.506,1.472,1.49,1.506,1.56,0.976,+0 +0 +0 +0,+0.96 +0.95 +0.99 +0.98,0.842,+0 +0 +0 +0,+0.71 +0.81 +0.92 +0.90,4.442,4.422,4.479,4.4,4.471,0.962,+0 +0 +0 +0,+0.98 +0.97 +0.98 +0.98,0.785,+0 +0 +0 +0,+0.94 +0.88 +0.74 +0.73,-0.767,-1.569,-0.837,-1.216,-0.046,0.249,+2 -3 +0 +3,+0.30 -0.19 +0.49 +0.11,0.182,-3 -3 +0 +1,-0.14 -0.55 +0.62 +0.41,46.054,43.694,45.856,50.455,50.462,0.968,+0 +0 +0 +0,+0.88 +0.97 +0.99 +0.93,0.728,-2 +0 +0 +0,+0.14 +0.87 +0.69 +0.81
SF11,2026-09-04 13:30,7_20260904_082050.456,-0.45,-25.69,2.706,2.662,2.726,2.663,2.715,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,0.829,+0 +0 +0 +0,+0.97 +0.99 +0.69 +0.91,1.229,1.18,1.216,1.225,1.343,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,0.884,+0 +0 +0 +0,+0.84 +0.87 +0.93 +0.92,4.63,4.599,4.666,4.58,4.657,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,0.824,+0 +0 +0 +0,+0.92 +0.96 +0.75 +0.81,1.132,1.152,1.137,1.087,1.098,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,0.576,-2 +0 +0 -2,+0.01 +0.79 +0.59 +0.38,50.164,47.57,49.905,54.916,55.318,1.0,+0 +0 +0 +0,+1.00 +1.00 +1.00 +1.00,0.719,-2 +0 +0 +0,+0.35 +0.82 +0.74 +0.72
SF11,2026-09-04 14:30,9_20260904_135650.425,0.55,-24.69,2.691,2.648,2.726,2.647,2.691,0.883,+0 +0 +0 +0,+1.00 +0.99 +0.81 +0.99,0.925,+0 +0 +0 +0,+0.96 +0.99 +0.90 +0.89,1.164,1.097,1.181,1.139,1.25,0.91,+0 +0 +0 +0,+0.94 +0.90 +0.93 +0.86,0.82,+0 +0 +0 +0,+0.77 +0.69 +0.87 +0.91,4.786,4.745,4.794,4.758,4.805,0.881,+0 +0 +0 +0,+0.99 +0.97 +0.85 +0.96,0.92,+0 +0 +0 +0,+0.87 +0.92 +0.92 +0.78,-0.837,-1.023,-0.864,-0.891,0.321,0.311,+0 +0 +0 +3,+0.40 +0.37 +0.41 +0.20,0.325,-2 +2 +0 +0,-0.09 +0.09 +0.66 +0.40,45.636,41.871,45.71,50.226,47.105,0.832,+0 +0 +0 +0,+0.81 +0.89 +0.84 +0.73,0.766,-2 +0 +0 +0,+0.32 +0.86 +0.76 +0.82
SF11,2026-09-04 15:30,9_20260904_135650.425,1.55,-23.69,2.719,2.682,2.749,2.675,2.717,0.875,+0 +0 +0 +0,+0.99 +1.00 +0.79 +0.99,0.933,+0 +0 +0 +0,+0.98 +0.99 +0.90 +0.91,1.164,1.133,1.158,1.174,1.252,0.912,+0 +0 +0 +0,+0.92 +0.93 +0.93 +0.85,0.867,+0 +0 +0 +0,+0.82 +0.77 +0.90 +0.91,4.752,4.724,4.764,4.715,4.772,0.861,+0 +0 +0 +0,+0.98 +0.98 +0.83 +0.96,0.923,+0 +0 +0 +0,+0.89 +0.95 +0.92 +0.83,-0.84,-1.464,-0.891,-1.464,0.463,0.151,-1 +1 -3 +1,-0.03 +0.09 +0.37 -0.10,0.197,-3 +1 +0 +1,-0.08 -0.16 +0.56 +0.26,45.205,42.235,44.556,50.496,48.047,0.828,+0 +0 +0 +0,+0.69 +0.90 +0.80 +0.69,0.801,-2 +0 +0 +0,+0.45 +0.93 +0.79 +0.82
SF11,2026-09-04 16:30,9_20260904_135650.425,2.55,-22.69,2.744,2.724,2.774,2.715,2.742,0.789,+0 +0 +0 +0,+0.97 +0.99 +0.56 +0.98,0.893,+0 +0 +0 +0,+0.99 +0.99 +0.83 +0.88,1.279,1.23,1.25,1.325,1.333,0.699,+0 +0 +0 +0,+0.85 +0.90 +0.52 +0.81,0.728,+0 +0 +0 +0,+0.83 +0.70 +0.60 +0.87,4.684,4.671,4.705,4.636,4.709,0.804,+0 +0 +0 +0,+0.96 +0.98 +0.72 +0.94,0.915,+0 +0 +0 +0,+0.97 +0.93 +0.89 +0.91,0.512,0.528,0.466,0.547,0.466,-0.009,+0 +0 -2 +3,+0.57 +0.89 -0.59 +0.27,-0.018,-2 +0 -2 +0,-0.13 +0.89 -0.50 +0.34,58.274,55.582,57.972,59.119,61.638,0.836,+0 +0 +0 +0,+0.63 +0.88 +0.76 +0.80,0.804,+0 +0 +0 +0,+0.47 +0.89 +0.92 +0.75
SF11,2026-09-04 17:30,9_20260904_135650.425,3.55,-21.69,2.766,2.734,2.789,2.728,2.764,0.822,+0 +0 +0 +0,+0.98 +0.99 +0.70 +0.99,0.936,+0 +0 +0 +0,+0.98 +1.00 +0.92 +0.92,1.212,1.185,1.178,1.217,1.288,0.927,+0 +0 +0 +0,+0.82 +0.95 +0.93 +0.98,0.944,+0 +0 +0 +0,+0.93 +0.94 +0.96 +0.94,4.773,4.767,4.804,4.728,4.807,0.837,+0 +0 +0 +0,+0.94 +0.98 +0.78 +0.96,0.915,+0 +0 +0 +0,+0.98 +0.92 +0.89 +0.87,-0.526,-0.624,-0.638,-0.662,-0.051,0.373,-3 +0 -3 +0,+0.08 +0.41 +0.36 +0.39,0.424,-2 +1 +0 -2,-0.09 +0.23 +0.69 +0.37,47.032,44.348,46.215,51.095,49.881,0.829,+0 +0 +0 +0,+0.62 +0.90 +0.69 +0.85,0.87,+0 +0 +0 +0,+0.73 +0.92 +0.90 +0.90
SF11,2026-09-04 18:30,9_20260904_135650.425,4.55,-20.69,2.681,2.64,2.686,2.675,2.694,0.8,+0 +0 +0 +0,+0.97 +0.97 +0.65 +0.99,0.918,+0 +0 +0 +0,+0.99 +0.95 +0.91 +0.92,1.808,1.801,1.806,1.799,1.822,0.679,+0 +0 +0 +0,+0.91 +0.75 +0.79 +0.91,0.596,+0 +0 +0 +0,+0.79 +0.56 +0.75 +0.87,4.163,4.173,4.19,4.134,4.189,0.689,+0 +0 +0 +0,+0.88 +0.87 +0.58 +0.95,0.758,+0 +0 +0 +0,+0.88 +0.77 +0.75 +0.68,0.372,0.38,0.374,0.319,0.402,0.56,+2 +0 +0 -2,+0.02 +0.84 +0.55 +0.28,0.704,+0 +0 +0 -2,+0.55 +0.89 +0.79 -0.09,71.113,68.515,70.882,72.042,72.64,0.736,+0 +0 +0 +0,+0.62 +0.76 +0.70 +0.62,0.739,+0 +0 +0 +0,+0.67 +0.78 +0.78 +0.83
SF11,2026-09-04 19:30,9_20260904_135650.425,5.55,-19.69,2.785,2.741,2.796,2.769,2.805,0.851,+0 +0 +0 +0,+0.98 +0.97 +0.73 +0.99,0.924,+0 +0 +0 +0,+0.99 +0.94 +0.92 +0.90,2.146,2.128,2.143,2.139,2.164,0.597,+0 +0 +0 +0,+0.84 +0.58 +0.78 +0.72,0.48,+0 +0 +0 +0,+0.57 +0.25 +0.71 +0.70,4.363,4.368,4.415,4.278,4.377,0.814,+0 +0 +0 +0,+0.91 +0.88 +0.77 +0.96,0.812,+0 +0 +0 +0,+0.89 +0.76 +0.79 +0.75,1.267,1.281,1.273,1.24,1.252,0.542,+2 +0 +0 +0,+0.21 +0.82 +0.50 +0.52,0.717,+0 +0 +0 +3,+0.72 +0.86 +0.78 +0.02,85.506,83.394,85.306,85.166,90.893,0.706,+0 +0 +0 +0,+0.80 +0.79 +0.66 +0.75,0.591,+1 +0 +0 +0,+0.42 +0.78 +0.64 +0.74
SF11,2026-09-04 20:30,12_20260904_202856.246,6.55,-18.69,2.81,2.725,2.798,2.801,2.833,0.321,+0 +3 +0 +0,+0.91 -0.08 +0.71 +0.99,0.354,+0 +3 +0 +0,+0.92 -0.02 +0.92 +0.91,2.016,1.98,2.016,1.997,2.04,0.364,+0 +2 +0 +0,+0.89 +0.08 +0.81 +0.86,0.364,+0 +0 +0 +0,+0.73 +0.20 +0.75 +0.82,4.474,4.466,4.548,4.387,4.515,0.48,+0 +3 +0 +0,+0.89 +0.05 +0.77 +0.95,0.461,+0 +3 +0 +0,+0.84 +0.01 +0.76 +0.75,0.221,0.251,0.197,0.21,0.269,-0.068,-1 +1 -2 +0,-0.40 -0.26 -0.22 +0.48,-0.195,+2 -2 -2 +0,-0.31 -0.45 -0.23 +0.72,68.938,65.312,68.884,69.567,74.868,0.553,-3 +0 +0 +0,-0.05 +0.47 +0.82 +0.84,0.562,+3 +0 +0 +0,+0.27 +0.65 +0.78 +0.70
SF11,2026-09-04 21:30,12_20260904_202856.246,7.55,-17.69,2.788,2.746,2.808,2.777,2.796,0.965,+0 +0 +0 +0,+0.99 +0.98 +0.97 +0.99,0.759,+0 +0 +0 +0,+0.98 +0.96 +0.56 +0.88,2.073,2.042,2.073,2.063,2.088,0.693,+0 +0 +0 +0,+0.84 +0.56 +0.82 +0.57,0.491,+0 +0 +0 +0,+0.54 +0.26 +0.65 +0.47,4.299,4.285,4.352,4.247,4.31,0.816,+0 +0 +0 +0,+0.94 +0.89 +0.85 +0.96,0.565,+0 +0 +0 +0,+0.90 +0.77 +0.42 +0.71,0.678,0.691,0.676,0.638,0.693,0.669,+2 +0 +0 -3,+0.11 +0.75 +0.88 +0.22,0.573,+0 +0 +3 +0,+0.63 +0.86 +0.29 +0.49,82.041,78.801,82.256,82.563,85.933,0.764,+0 +0 +0 +0,+0.84 +0.74 +0.65 +0.82,0.621,+0 +0 +0 +0,+0.39 +0.77 +0.71 +0.61
SF11,2026-09-04 22:30,12_20260904_202856.246,8.55,-16.69,2.731,2.691,2.755,2.706,2.732,0.94,+0 +0 +0 +0,+0.99 +0.98 +0.93 +0.99,0.742,+0 +0 +0 +0,+0.99 +0.97 +0.51 +0.88,1.464,1.4,1.472,1.454,1.498,0.9,+0 +0 +0 +0,+0.92 +0.88 +0.94 +0.86,0.782,+0 +0 +0 +0,+0.71 +0.70 +0.84 +0.85,4.879,4.832,4.875,4.878,4.898,0.941,+0 +0 +0 +0,+0.95 +0.93 +0.98 +0.63,0.704,+0 +0 +0 +0,+0.79 +0.89 +0.71 +0.30,0.787,0.816,0.787,0.725,0.773,0.714,+0 +0 +0 +0,+0.37 +0.76 +0.85 +0.59,0.643,+0 +0 +0 +0,+0.40 +0.95 +0.39 +0.84,58.245,53.645,57.424,59.849,60.315,0.85,+0 +0 +0 +0,+0.75 +0.70 +0.87 +0.77,0.808,+1 +0 +0 +0,+0.54 +0.87 +0.83 +0.85
