animal,time,session,hours_since_move1,hours_since_move2,log_gamma_median,log_gamma_shank1_median,log_gamma_shank2_median,log_gamma_shank3_median,log_gamma_shank4_median,log_gamma_r_vs_ref1,log_gamma_shift_vs_ref1,log_gamma_shank_r_vs_ref1,log_gamma_r_vs_ref2,log_gamma_shift_vs_ref2,log_gamma_shank_r_vs_ref2,log_ripple_median,log_ripple_shank1_median,log_ripple_shank2_median,log_ripple_shank3_median,log_ripple_shank4_median,log_ripple_r_vs_ref1,log_ripple_shift_vs_ref1,log_ripple_shank_r_vs_ref1,log_ripple_r_vs_ref2,log_ripple_shift_vs_ref2,log_ripple_shank_r_vs_ref2,log_theta_median,log_theta_shank1_median,log_theta_shank2_median,log_theta_shank3_median,log_theta_shank4_median,log_theta_r_vs_ref1,log_theta_shift_vs_ref1,log_theta_shank_r_vs_ref1,log_theta_r_vs_ref2,log_theta_shift_vs_ref2,log_theta_shank_r_vs_ref2,mua_rate_hz_median,mua_rate_hz_shank1_median,mua_rate_hz_shank2_median,mua_rate_hz_shank3_median,mua_rate_hz_shank4_median,mua_rate_hz_r_vs_ref1,mua_rate_hz_shift_vs_ref1,mua_rate_hz_shank_r_vs_ref1,mua_rate_hz_r_vs_ref2,mua_rate_hz_shift_vs_ref2,mua_rate_hz_shank_r_vs_ref2,spike_band_mad_adc_median,spike_band_mad_adc_shank1_median,spike_band_mad_adc_shank2_median,spike_band_mad_adc_shank3_median,spike_band_mad_adc_shank4_median,spike_band_mad_adc_r_vs_ref1,spike_band_mad_adc_shift_vs_ref1,spike_band_mad_adc_shank_r_vs_ref1,spike_band_mad_adc_r_vs_ref2,spike_band_mad_adc_shift_vs_ref2,spike_band_mad_adc_shank_r_vs_ref2
SF07,2026-09-04 18:30,11_20260904_140054.476,4.49,-19.02,2.66,2.788,2.698,2.629,2.648,0.986,+0 +0 +0 +0,+1.00 +0.94 +0.89 +0.10,0.975,+0 +0 +0 +2,+0.99 +0.91 +0.78 +0.39,1.126,1.257,1.187,1.019,1.017,0.924,+0 +0 +0 -1,+0.99 +0.71 +0.84 +0.72,0.899,+0 +0 +0 +2,+0.96 +0.70 +0.74 +0.73,4.68,4.715,4.688,4.668,4.661,0.984,+0 +0 +0 +0,+0.99 +0.92 +0.96 +0.93,0.953,+0 +0 +0 -2,+0.98 +0.95 +0.96 +0.84,-1.023,0.318,-1.569,-1.066,-1.162,0.698,+0 +0 +0 -1,+0.87 +0.63 +0.36 +0.35,0.555,+1 -1 -3 +2,+0.54 +0.42 +0.23 +0.36,43.82,48.998,46.705,40.834,42.997,0.497,+0 +0 +0 -1,+0.51 +0.45 +0.49 +0.02,0.446,-1 +0 +0 -1,+0.23 +0.48 +0.41 +0.15
SF07,2026-09-04 20:30,14_20260904_201825.406,6.49,-17.02,2.796,2.943,2.837,2.769,2.779,0.977,+0 +0 +0 +0,+0.99 +0.91 +0.93 +0.49,0.969,+0 +0 +0 +0,+0.99 +0.94 +0.78 +0.60,2.278,2.31,2.285,2.266,2.264,0.956,+0 +0 +0 +0,+0.98 +0.79 +0.84 +0.90,0.946,+0 +0 +0 +0,+0.96 +0.96 +0.79 +0.89,4.67,4.695,4.679,4.659,4.672,0.749,+0 +0 +0 -2,+0.99 +0.65 +0.14 +0.02,0.624,+0 +0 +1 -2,+0.97 +0.50 -0.20 -0.69,-1.023,0.137,-1.162,-1.216,-1.155,0.73,+0 +0 +0 -3,+0.72 +0.56 +0.56 +0.18,0.613,+2 -1 -3 +0,+0.52 +0.53 -0.23 +0.64,46.367,50.546,45.976,44.675,45.45,0.538,+0 +0 +0 +0,+0.60 +0.38 +0.64 +0.35,0.577,+0 +0 +0 -1,+0.32 +0.74 +0.44 +0.32
SF07,2026-09-04 21:30,14_20260904_201825.406,7.49,-16.02,2.95,3.069,2.981,2.925,2.924,0.971,+0 +0 +0 +0,+0.99 +0.90 +0.95 +0.78,0.965,+0 +0 +0 +0,+0.99 +0.91 +0.88 +0.74,2.658,2.677,2.662,2.65,2.647,0.953,+0 +0 +0 +0,+0.98 +0.88 +0.78 +0.88,0.939,+0 +0 +0 +0,+0.98 +0.96 +0.85 +0.92,4.691,4.713,4.715,4.661,4.708,0.438,+0 -1 +3 -2,+0.94 +0.40 -0.39 -0.27,0.262,+0 -1 +3 -2,+0.89 +0.23 -0.67 -0.87,1.083,1.059,1.088,1.103,1.091,-0.089,-3 +0 +3 +0,-0.09 +0.32 +0.07 +0.50,-0.116,+1 +1 +3 -1,-0.29 +0.43 +0.08 +0.22,111.383,116.936,111.981,109.23,110.439,0.444,+2 +0 +0 +0,+0.01 +0.38 +0.33 +0.59,0.544,-1 +0 +0 +0,+0.29 +0.78 +0.61 +0.13
SF07,2026-09-04 22:30,14_20260904_201825.406,8.48,-15.02,2.907,3.03,2.932,2.871,2.87,0.972,+0 +0 +0 +0,+0.99 +0.91 +0.97 +0.66,0.969,+0 +0 +0 +0,+0.99 +0.95 +0.92 +0.57,2.597,2.615,2.602,2.589,2.585,0.935,+0 +0 +0 -3,+0.97 +0.69 +0.80 +0.83,0.932,+0 +0 +0 +0,+0.97 +0.89 +0.85 +0.91,4.738,4.761,4.763,4.708,4.754,0.432,+0 -1 +3 -2,+0.94 +0.39 -0.38 -0.28,0.256,+0 -1 +3 -2,+0.89 +0.22 -0.67 -0.88,0.901,0.879,0.886,0.939,0.912,-0.122,-3 +0 +3 +0,-0.32 +0.41 +0.14 +0.38,-0.131,+1 +0 +3 -1,-0.26 +0.56 +0.05 -0.01,119.836,124.374,120.167,116.446,118.082,0.337,+2 +0 +0 -3,-0.03 +0.18 +0.34 +0.06,0.503,+0 +0 +0 +1,+0.39 +0.65 +0.61 +0.22
SF07,2026-09-04 23:30,14_20260904_201825.406,9.48,-14.02,2.902,3.02,2.928,2.87,2.873,0.979,+0 +0 +0 -2,+0.99 +0.87 +0.96 +0.65,0.98,+0 +0 +0 +0,+0.99 +0.94 +0.92 +0.60,2.597,2.617,2.605,2.589,2.587,0.928,+0 +0 +0 -1,+0.97 +0.67 +0.77 +0.79,0.928,+0 +0 +0 +2,+0.97 +0.88 +0.79 +0.87,4.452,4.509,4.47,4.411,4.445,0.67,+0 -1 +3 -2,+0.93 +0.46 -0.28 -0.23,0.493,+0 -1 +3 -2,+0.88 +0.30 -0.58 -0.85,0.984,0.976,0.98,1.006,0.989,0.052,-3 +0 -3 +3,-0.11 +0.34 +0.09 +0.13,0.017,-3 +0 +3 +2,-0.29 +0.51 -0.16 +0.01,120.894,125.462,121.281,118.564,119.721,0.405,+2 +0 +0 +3,+0.16 +0.27 +0.57 -0.15,0.458,+0 -1 +0 +0,+0.50 +0.48 +0.40 +0.61
SF07,2026-09-05 00:30,14_20260904_201825.406,10.48,-13.02,2.644,2.789,2.687,2.612,2.641,0.977,+0 +0 +0 +0,+0.99 +0.84 +0.88 +0.66,0.977,+0 +0 +0 +0,+0.99 +0.91 +0.88 +0.92,1.167,1.379,1.257,1.06,1.046,0.917,+0 +0 +0 +0,+0.99 +0.61 +0.72 +0.87,0.95,+0 +0 +0 +0,+0.98 +0.82 +0.82 +0.97,4.693,4.714,4.696,4.679,4.667,0.894,+0 +0 +0 +2,+0.93 +0.70 +0.87 +0.74,0.965,+0 +0 +0 +0,+0.96 +0.82 +0.98 +0.98,0.104,0.38,-0.051,0.1,0.127,0.647,+0 +0 +3 -3,+0.67 +0.52 +0.12 +0.19,0.515,+0 +0 +2 -1,+0.35 +0.67 -0.08 +0.19,46.052,49.234,45.964,42.696,45.605,0.414,+2 +0 +0 -3,+0.38 +0.35 +0.43 +0.06,0.592,+0 +0 +0 -1,+0.54 +0.62 +0.52 +0.50
SF07,2026-09-05 01:30,14_20260904_201825.406,11.48,-12.02,2.935,3.049,2.965,2.911,2.908,0.97,+0 +0 +0 +0,+0.99 +0.86 +0.86 +0.74,0.972,+0 +0 +0 +0,+0.99 +0.93 +0.92 +0.57,2.666,2.682,2.67,2.659,2.655,0.913,+0 +0 +0 -3,+0.91 +0.77 +0.76 +0.60,0.916,+0 +0 +0 -3,+0.93 +0.89 +0.90 +0.55,4.549,4.578,4.563,4.515,4.561,0.488,+0 -1 +3 -2,+0.93 +0.43 -0.33 -0.23,0.31,+0 -1 +3 -2,+0.88 +0.26 -0.63 -0.84,1.005,0.978,1.01,1.022,1.008,-0.18,-3 +0 +3 +3,-0.20 +0.23 -0.06 +0.05,-0.118,-3 +0 +0 -1,+0.07 +0.42 +0.18 -0.31,115.908,120.432,115.907,113.861,115.063,0.314,+2 +0 -2 +3,+0.03 +0.23 +0.27 -0.11,0.531,+0 +0 +0 -1,+0.49 +0.60 +0.69 +0.28
SF07,2026-09-05 02:30,14_20260904_201825.406,12.48,-11.02,3.005,3.106,3.028,2.976,2.974,0.963,+0 +0 +0 +0,+0.97 +0.82 +0.85 +0.56,0.969,+0 +0 +0 +2,+0.98 +0.91 +0.92 +0.23,2.741,2.754,2.746,2.735,2.732,0.831,+2 +0 +0 -3,+0.63 +0.78 +0.71 +0.44,0.85,+0 +0 +0 -3,+0.66 +0.93 +0.90 +0.34,4.576,4.592,4.597,4.544,4.593,0.358,+0 -1 +3 -2,+0.93 +0.38 -0.34 -0.27,0.184,+0 -1 +3 -2,+0.87 +0.21 -0.63 -0.85,1.133,1.116,1.117,1.158,1.144,-0.052,-3 +0 +3 +3,+0.05 +0.23 +0.25 +0.15,-0.082,-3 +0 +0 +2,-0.07 +0.49 +0.29 -0.45,123.456,127.814,124.626,121.576,122.418,0.287,+2 +3 +3 +3,+0.04 +0.02 +0.35 -0.03,0.492,+1 +0 +0 -2,+0.25 +0.66 +0.65 +0.04
SF07,2026-09-05 03:30,14_20260904_201825.406,13.48,-10.02,2.908,3.008,2.93,2.881,2.881,0.962,+0 +0 +0 +0,+0.95 +0.81 +0.88 +0.61,0.973,+0 +0 +0 +1,+0.96 +0.93 +0.92 +0.31,2.613,2.629,2.622,2.609,2.604,0.737,+2 +0 +0 -3,+0.48 +0.76 +0.73 +0.26,0.754,+0 +0 +0 -3,+0.52 +0.93 +0.86 +0.10,4.441,4.472,4.467,4.408,4.45,0.478,+0 -1 +3 -3,+0.90 +0.41 -0.32 -0.31,0.302,+0 -1 +3 -1,+0.84 +0.24 -0.62 -0.86,1.131,1.14,1.11,1.125,1.133,0.185,-3 +0 +3 +3,-0.05 +0.08 +0.25 +0.37,0.206,-3 +0 +0 -1,-0.01 +0.27 +0.25 -0.35,118.813,123.215,119.822,117.873,117.393,0.342,+0 +0 +3 +0,+0.30 -0.01 +0.41 +0.16,0.525,+0 +0 +0 -2,+0.47 +0.71 +0.65 +0.00
SF07,2026-09-05 04:30,14_20260904_201825.406,14.48,-9.02,2.855,2.946,2.893,2.836,2.835,0.836,+2 +0 +0 +1,+0.64 +0.77 +0.91 +0.28,0.859,+2 +0 +0 +3,+0.67 +0.90 +0.91 -0.03,2.488,2.502,2.5,2.485,2.478,0.169,+2 +0 +0 -3,+0.20 +0.66 +0.72 -0.19,0.201,+2 +0 +0 -3,+0.25 +0.91 +0.86 -0.41,4.487,4.492,4.529,4.463,4.492,0.305,+0 -1 +3 -3,+0.65 +0.40 -0.31 -0.31,0.173,+0 -1 +3 +0,+0.60 +0.24 -0.62 -0.70,1.491,1.478,1.478,1.508,1.501,0.005,-3 +0 +3 +3,-0.07 +0.19 +0.36 +0.27,0.072,-3 +0 +0 +3,+0.25 +0.41 +0.33 -0.24,94.016,97.007,95.325,93.274,92.147,0.255,+0 -3 +3 +0,+0.19 -0.00 +0.44 +0.32,0.527,+0 +0 +0 -2,+0.54 +0.75 +0.70 -0.00
SF07,2026-09-05 05:30,14_20260904_201825.406,15.48,-8.02,2.711,2.792,2.75,2.686,2.693,0.865,+2 +0 +0 +0,+0.72 +0.84 +0.90 +0.60,0.887,+2 +0 +0 +2,+0.74 +0.93 +0.93 +0.24,2.072,2.095,2.09,2.06,2.053,0.606,+2 +0 -2 -3,+0.47 +0.55 +0.63 +0.58,0.665,+0 +0 +0 +3,+0.53 +0.86 +0.85 +0.46,4.533,4.552,4.546,4.521,4.521,0.451,+0 +0 +0 +1,+0.55 +0.74 +0.40 +0.03,0.411,+0 +0 +0 -1,+0.53 +0.62 +0.08 -0.08,0.776,0.79,0.692,0.77,0.816,0.109,-3 +0 +3 +3,-0.05 +0.38 +0.26 +0.20,0.228,-3 +0 +0 +3,+0.33 +0.53 +0.44 -0.26,93.926,96.549,95.696,93.329,91.972,0.242,+0 +3 +3 +0,+0.21 +0.03 +0.27 +0.29,0.463,+0 +0 +0 -1,+0.51 +0.70 +0.79 +0.21
