animal,root,session,amp_bytes,hours,predicted_card_bytes,sidecars_ok,growing,card_records,card_total_mb,verdict
SF07,E:\3rd_rat_spikes,0_20260906_123827.548,99090432,0.010752,100638720.0,True,False,2,3447.257088,SAFE TO FORMAT - 99.634 % of the listing; residual 12.6 MB = record overhead
SF07,E:\3rd_rat_spikes,1_20260906_123931.995,3282698240,0.3561955555555556,3333990400.0,True,False,2,3447.257088,SAFE TO FORMAT - 99.634 % of the listing; residual 12.6 MB = record overhead
SF08,E:\3rd_rat_spikes,0_20260831_070148.859,1635385344,0.17745066666666667,1660938240.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,1_20260831_071239.713,440958976,0.047847111111111104,447848960.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,2_20260831_071541.642,11555536896,1.2538559999999999,11736092160.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,3_20260831_083101.996,13172736,0.0014293333333333332,13378560.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,4_20260831_083120.285,26910523392,2.9199786666666663,27331000320.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,0_20260831_190133.486,115605504,0.012544,117411840.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,1_20260831_190229.919,49260691456,5.345127111111111,50030389760.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,2_20260901_002327.839,28975726592,3.1440675555555555,29428472320.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,3_20260901_054222.420,319979520,0.03472,324979200.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,0_20260901_075204.484,132120576,0.014336,134184960.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,1_20260901_075304.063,46557200384,5.051779555555555,47284656640.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,2_20260901_125621.840,4912119808,0.5329991111111111,4988871680.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,3_20260901_151059.837,489324544,0.053095111111111114,496970240.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,4_20260901_152951.697,15904964608,1.725799111111111,16153479680.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,5_20260901_171339.094,10263494656,1.1136604444444445,10423861760.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,6_20260901_193023.481,94961664,0.010304,96445440.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,7_20260901_193109.475,36976918528,4.012252444444444,37554682880.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,8_20260901_233239.239,63233818624,6.861308444444444,64221847040.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,9_20260902_062432.012,10084220928,1.094208,10241786880.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,11_20260902_080414.269,17235968,0.0018702222222222223,17505280.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,12_20260902_082624.125,194543616,0.021109333333333334,197583360.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,13_20260902_082748.094,91022589952,9.876583111111112,92444817920.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,14_20260902_183725.225,6553600,0.0007111111111111111,6656000.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,15_20260902_184139.248,88768512,0.009632,90155520.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,16_20260902_190202.601,78446592,0.008512,79672320.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,17_20260902_190241.916,101012832256,10.960593777777778,102591157760.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,18_20260903_060030.122,6784679936,0.7361848888888889,6890690560.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,0_20260903_071202.892,20643840,0.00224,20966400.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,1_20260903_075302.441,106987520,0.011608888888888889,108659200.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,2_20260903_075352.907,74372251648,8.069905777777779,75534318080.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,3_20260903_160306.510,3788374016,0.41106488888888887,3847567360.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,0_20260903_171601.361,12386304,0.001344,12579840.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,1_20260903_175406.043,102432768,0.011114666666666667,104033280.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,2_20260903_175453.625,125769089024,13.646819555555556,127734231040.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,3_20260904_081121.301,96043008,0.010421333333333335,97543680.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,4_20260904_081205.535,104208433152,11.307338666666666,105836689920.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,5_20260904_195428.533,9961472,0.0010808888888888888,10117120.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,6_20260904_202001.469,122060800,0.013244444444444444,123968000.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,7_20260904_202056.765,113095442432,12.27164088888889,114862558720.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,0_20260905_090305.847,8257536,0.000896,8386560.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,1_20260905_093454.761,83034112,0.009009777777777778,84331520.0,True,False,,,no listing
SF08,E:\3rd_rat_spikes,2_20260905_093534.819,78047870976,8.468736,79267368960.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,0_20260831_070319.133,1606451200,0.1743111111111111,1631552000.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,1_20260831_071357.350,39231520768,4.2568924444444445,39844513280.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,0_20260831_190404.508,169312256,0.018371555555555558,171957760.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,1_20260831_190522.711,91979776,0.009980444444444445,93416960.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,2_20260831_190743.879,101285888,0.010990222222222222,102868480.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,3_20260831_190834.640,48597237760,5.2731377777777775,49356569600.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,4_20260901_002514.385,29066133504,3.1538773333333334,29520291840.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,5_20260901_054317.203,195067904,0.021166222222222225,198115840.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,0_20260901_075436.934,111476736,0.012096,113218560.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,1_20260901_075532.964,46372290560,5.0317155555555555,47096857600.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,2_20260901_125743.131,39474954240,4.283306666666666,40091750400.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,3_20260901_171502.588,10166599680,1.1031466666666667,10325452800.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,4_20260901_193233.034,96370688,0.010456888888888887,97876480.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,5_20260901_193330.365,35183689728,3.817674666666667,35733434880.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,6_20260901_232245.983,64982155264,7.051015111111111,65997501440.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,7_20260902_062601.722,9740517376,1.0569137777777777,9892712960.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,8_20260902_081433.629,8552448,0.000928,8686080.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,9_20260902_082928.325,98762752,0.010716444444444445,100305920.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,10_20260902_083015.335,78036107264,8.467459555555555,79255421440.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,11_20260902_165826.634,11601608704,1.258855111111111,11782883840.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,12_20260902_183208.214,14712832,0.0015964444444444446,14942720.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,13_20260902_190350.404,79396864,0.00861511111111111,80637440.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,14_20260902_190428.646,83427328,0.009052444444444445,84730880.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,15_20260902_190508.575,48103292928,5.219541333333333,48854906880.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,16_20260903_001828.515,59625734144,6.469806222222222,60557386240.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,0_20260903_072302.755,12386304,0.001344,12579840.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,1_20260903_075611.131,85524480,0.00928,86860800.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,2_20260903_075655.297,80302735360,8.713404444444445,81557465600.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,0_20260903_172814.047,12386304,0.001344,12579840.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,1_20260903_175700.435,88997888,0.009656888888888888,90388480.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,2_20260903_175742.843,128679936,0.013962666666666667,130690560.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,3_20260903_175840.384,122216546304,13.261344,124126179840.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,4_20260904_081348.459,80052224,0.008686222222222222,81303040.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,5_20260904_081426.496,104162983936,11.302407111111112,105790530560.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,6_20260904_200457.699,13008896,0.0014115555555555554,13212160.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,7_20260904_202245.030,82870272,0.008992,84165120.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,8_20260904_202324.405,112940515328,12.254830222222223,114705210880.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,0_20260905_090533.177,16515072,0.001792,16773120.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,1_20260905_090827.360,15400960,0.001671111111111111,15641600.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,2_20260905_094626.859,81166336,0.008807111111111111,82434560.0,True,False,,,no listing
SF09,E:\3rd_rat_spikes,3_20260905_094705.608,76490473472,8.299747555555555,77685637120.0,True,False,,,no listing
SF10,E:\3rd_rat_spikes,0_20260831_070700.822,1581678592,0.17162311111111112,1606392320.0,True,False,,,no listing
SF10,E:\3rd_rat_spikes,1_20260831_071948.008,37920243712,4.114609777777778,38512747520.0,True,False,,,no listing
SF10,E:\3rd_rat_spikes,0_20260831_190956.580,90832896,0.009856,92252160.0,True,False,,,no listing
SF10,E:\3rd_rat_spikes,1_20260831_191045.259,6877085696,0.7462115555555556,6984540160.0,True,False,,,no listing
SF10,E:\3rd_rat_spikes,2_20260831_195630.973,41525706752,4.505827555555555,42174545920.0,True,False,,,no listing
SF10,E:\3rd_rat_spikes,3_20260901_002703.626,13828096,0.0015004444444444444,14044160.0,True,False,,,no listing
SF10,E:\3rd_rat_spikes,4_20260901_002730.117,24555618304,2.6644551111111108,24939299840.0,True,False,,,no listing
SF10,E:\3rd_rat_spikes,5_20260901_054403.494,127991808,0.013888,129991680.0,True,False,,,no listing
SF10,E:\3rd_rat_spikes,0_20260901_080100.926,90832896,0.009856,92252160.0,True,False,,,no listing
SF10,E:\3rd_rat_spikes,1_20260901_080143.036,45616168960,4.949671111111111,46328921600.0,True,False,,,no listing
SF10,E:\3rd_rat_spikes,2_20260901_125856.163,39498383360,4.285848888888889,40115545600.0,True,False,,,no listing
SF10,E:\3rd_rat_spikes,3_20260901_171620.845,10069147648,1.0925724444444445,10226478080.0,True,False,,,no listing
SF10,E:\3rd_rat_spikes,4_20260901_193512.911,87654400,0.00951111111111111,89024000.0,True,False,,,no listing
SF10,E:\3rd_rat_spikes,5_20260901_193554.435,37367840768,4.054670222222222,37951713280.0,True,False,,,no listing
