animal,logger_mac,session,slot,start_local,end_local,duration_s,duration_hms,firmware,hw,provenance,deglitch_required,commit_risk,measured_verdict,regime,regime_by_window,ticks_per_s,tick_removal_frac,raw_std_median_adc,glitch_samples_per_s,glitch_pct_samples,probe_seconds,probe_windows,noise_uV_median,bad_channel_candidates,fs,n_channels,n_samples,amplifier_gb,rtc_start,rtc_agrees_with_folder,has_info_rhd,time_dat_ok,analogin_ok,sd_capacity_kb,error_code,notes,path
SF8,128C2F27E131,0_20260831_190133.486,0,2026-08-31 19:01:33.486,2026-08-31 19:02:18,45.158,0:00:45,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",287.7,1.0,677.0,1394.5,0.1089,30.0,5,10.4,32,20000,64,903168,0.116,2026-08-31 19:01:33,True,True,True,True,1001390080,65536,,E:\3rd_rat_spikes\SF8\128C2F27E131\0_20260831_190133.486
SF8,128C2F27E131,1_20260831_190229.919,1,2026-08-31 19:02:29.919,2026-09-01 00:23:12,19242.458,5:20:42,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",678.9,1.0,671.0,3398.0,0.2655,30.0,5,10.94,32,20000,64,384849152,49.261,2026-08-31 19:02:29,True,True,True,True,1001390080,65536,,E:\3rd_rat_spikes\SF8\128C2F27E131\1_20260831_190229.919
SF8,128C2F27E131,2_20260901_002327.839,2,2026-09-01 00:23:27.839,2026-09-01 03:32:06,11318.643,3:08:39,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",1247.83,1.0,1135.0,3309.2,0.2585,30.0,5,10.89,32,20000,64,226372864,28.976,2026-09-01 00:23:27,True,True,True,True,1001390080,65536,,E:\3rd_rat_spikes\SF8\128C2F27E131\2_20260901_002327.839
SF8,128C2F27E131,3_20260901_054222.420,3,2026-09-01 05:42:22.420,2026-09-01 05:44:27,124.992,0:02:05,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",666.57,1.0,765.0,3078.5,0.2405,30.0,5,10.8,32,20000,64,2499840,0.32,2026-09-01 05:42:22,True,True,True,True,1001390080,65536,,E:\3rd_rat_spikes\SF8\128C2F27E131\3_20260901_054222.420
SF9,68BDFFFF62DB,0_20260831_070319.133,0,2026-08-31 07:03:19.133,2026-08-31 07:13:46,627.52,0:10:28,62,12,FM62: stop-only commit (session exists only after a clean Record Stop) + glitch defects A/B,True,stop-only commit (session exists only after a clean Record Stop),glitchy+broadband,broadband,"wide-impulse,broadband,wide-impulse,wide-impulse,wide-impulse",14983.0,0.22,2757.0,5608.27,0.4381,30.0,5,12.85,2 4 32 54 56 58 62,20000,64,12550400,1.606,2026-08-31 07:03:19,True,True,True,True,1000144896,0,BROADBAND noise blow-up (raw std > 2500 ADC): hardware/handling regime; QC before use,E:\3rd_rat_spikes\SF9\68BDFFFF62DB\0_20260831_070319.133
SF9,68BDFFFF62DB,1_20260831_071357.350,1,2026-08-31 07:13:57.350,2026-08-31 11:29:22,15324.813,4:15:25,62,12,FM62: stop-only commit (session exists only after a clean Record Stop) + glitch defects A/B,True,stop-only commit (session exists only after a clean Record Stop),glitchy+wide-impulse,wide-impulse,"normal,wide-impulse,normal,wide-impulse,wide-impulse",10061.67,0.237,1310.0,5332.73,0.4166,30.0,5,13.48,2 4 32 36 54 56 58 62,20000,64,306496256,39.232,2026-08-31 07:13:57,True,True,True,True,1000144896,0,WIDE (>=3-sample) impulses dominate: not the FM62/64 single-sample defect; de-glitch will NOT clean this; QC before use,E:\3rd_rat_spikes\SF9\68BDFFFF62DB\1_20260831_071357.350
SF9,68BDFFFF62DB,0_20260831_190404.508,0,2026-08-31 19:04:04.508,2026-08-31 19:05:10,66.138,0:01:06,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",314.97,0.958,1364.0,686.6,0.0536,30.0,5,8.26,2 4 32 36 52 54 56 58 60 62,20000,64,1322752,0.169,2026-08-31 19:04:04,True,True,True,True,1001390080,65536,,E:\3rd_rat_spikes\SF9\68BDFFFF62DB\0_20260831_190404.508
SF9,68BDFFFF62DB,1_20260831_190522.711,1,2026-08-31 19:05:22.711,2026-08-31 19:05:58,35.93,0:00:36,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",318.8,0.964,1300.0,678.6,0.053,30.0,5,8.42,2 4 32 36 52 54 56 58 60 62,20000,64,718592,0.092,2026-08-31 19:05:22,True,True,True,True,1001390080,65536,,E:\3rd_rat_spikes\SF9\68BDFFFF62DB\1_20260831_190522.711
SF9,68BDFFFF62DB,2_20260831_190743.879,2,2026-08-31 19:07:43.879,2026-08-31 19:08:23,39.565,0:00:40,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",289.1,0.959,1128.0,676.43,0.0528,30.0,5,10.41,2 4 32 36 52 54 56 58 60 62,20000,64,791296,0.101,2026-08-31 19:07:43,True,True,True,True,1001390080,65536,,E:\3rd_rat_spikes\SF9\68BDFFFF62DB\2_20260831_190743.879
SF9,68BDFFFF62DB,3_20260831_190834.640,3,2026-08-31 19:08:34.640,2026-09-01 00:24:57,18983.296,5:16:23,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",326.1,0.963,916.0,1057.7,0.0826,30.0,5,11.77,2 4 32 36 54 56 58 62,20000,64,379665920,48.597,2026-08-31 19:08:34,True,True,True,True,1001390080,65536,,E:\3rd_rat_spikes\SF9\68BDFFFF62DB\3_20260831_190834.640
SF9,68BDFFFF62DB,4_20260901_002514.385,4,2026-09-01 00:25:14.385,2026-09-01 03:34:28,11353.958,3:09:14,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",365.87,0.971,897.0,1102.83,0.0862,30.0,5,12.68,2 4 32 36 54 56 58 62,20000,64,227079168,29.066,2026-09-01 00:25:14,True,True,True,True,1001390080,65536,,E:\3rd_rat_spikes\SF9\68BDFFFF62DB\4_20260901_002514.385
SF9,68BDFFFF62DB,5_20260901_054317.203,5,2026-09-01 05:43:17.203,2026-09-01 05:44:33,76.198,0:01:16,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",457.73,0.936,989.0,1086.9,0.0849,30.0,5,8.22,2 4 32 36 52 54 56 58 60 62,20000,64,1523968,0.195,2026-09-01 05:43:17,True,True,True,True,1001390080,65536,,E:\3rd_rat_spikes\SF9\68BDFFFF62DB\5_20260901_054317.203
