animal,logger_mac,session,slot,start_local,end_local,duration_s,duration_hms,firmware,hw,provenance,deglitch_required,commit_risk,measured_verdict,regime,regime_by_window,ticks_per_s,tick_removal_frac,raw_std_median_adc,glitch_samples_per_s,glitch_pct_samples,probe_seconds,probe_windows,noise_uV_median,bad_channel_candidates,fs,n_channels,n_samples,amplifier_gb,rtc_start,rtc_agrees_with_folder,has_info_rhd,time_dat_ok,analogin_ok,sd_capacity_kb,error_code,notes,path
SF11,1DFE7F77721C,1_20260831_191341.611,1,2026-08-31 19:13:41.611,2026-09-01 00:28:51,18910.003,5:15:10,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",319.2,1.0,1472.0,983.73,0.0769,30.0,5,11.14,,20000,64,378200064,48.41,2026-08-31 19:13:41,True,True,True,True,246947840,65536,,E:\3rd_rat_spikes\SF11\1DFE7F77721C\1_20260831_191341.611
SF11,1DFE7F77721C,2_20260901_002906.850,2,2026-09-01 00:29:06.850,2026-09-01 03:21:53,10366.95,2:52:47,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",507.03,1.0,1657.0,1303.37,0.1018,30.0,5,12.04,,20000,64,207339008,26.539,2026-09-01 00:29:06,True,True,True,True,246947840,65536,,E:\3rd_rat_spikes\SF11\1DFE7F77721C\2_20260901_002906.850
SF11,1DFE7F77721C,3_20260901_054537.933,3,2026-09-01 05:45:37.933,2026-09-01 05:46:36,58.355,0:00:58,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",141.03,1.0,585.0,681.77,0.0533,30.0,5,9.07,32 56 60,20000,64,1167104,0.149,2026-09-01 05:45:37,True,True,True,True,246947840,65536,,E:\3rd_rat_spikes\SF11\1DFE7F77721C\3_20260901_054537.933
SF11,1DFE7F77721C,4_20260901_054836.484,4,2026-09-01 05:48:36.484,2026-09-01 05:48:47,10.726,0:00:11,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,normal,97.24,1.0,600.0,537.83,0.042,10.73,1,11.01,32 56 60,20000,64,214528,0.027,2026-09-01 05:48:36,True,True,True,True,246947840,65536,,E:\3rd_rat_spikes\SF11\1DFE7F77721C\4_20260901_054836.484
SF11,1DFE7F77721C,5_20260901_054906.988,5,2026-09-01 05:49:06.988,2026-09-01 05:49:17,10.893,0:00:11,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,normal,138.44,1.0,617.0,559.82,0.0437,10.89,1,11.2,32 56 60 62,20000,64,217856,0.028,2026-09-01 05:49:06,True,True,True,True,246947840,65536,,E:\3rd_rat_spikes\SF11\1DFE7F77721C\5_20260901_054906.988
SF12,FBED2F2321B1,0_20260831_070947.667,0,2026-08-31 07:09:47.667,2026-08-31 07:10:24,37.094,0:00:37,62,12,FM62: stop-only commit (session exists only after a clean Record Stop) + glitch defects A/B,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",536.37,1.0,921.0,1904.43,0.1488,30.0,5,13.04,58 60,20000,64,741888,0.095,2026-08-31 07:09:47,True,True,True,True,1000144896,65536,,E:\3rd_rat_spikes\SF12\FBED2F2321B1\0_20260831_070947.667
SF12,FBED2F2321B1,1_20260831_071033.005,1,2026-08-31 07:10:33.005,2026-08-31 07:18:29,476.275,0:07:56,62,12,FM62: stop-only commit (session exists only after a clean Record Stop) + glitch defects A/B,True,stop-only commit (session exists only after a clean Record Stop),glitchy+broadband,broadband,"wide-impulse,broadband,normal,broadband,normal",24440.47,0.389,4763.0,8589.73,0.6711,30.0,5,7.98,,20000,64,9525504,1.219,2026-08-31 07:10:33,True,True,True,True,1000144896,65536,BROADBAND noise blow-up (raw std > 2500 ADC): hardware/handling regime; QC before use,E:\3rd_rat_spikes\SF12\FBED2F2321B1\1_20260831_071033.005
SF12,FBED2F2321B1,2_20260831_071845.540,2,2026-08-31 07:18:45.540,2026-08-31 11:27:26,14921.318,4:08:41,62,12,FM62: stop-only commit (session exists only after a clean Record Stop) + glitch defects A/B,True,stop-only commit (session exists only after a clean Record Stop),glitchy+broadband,broadband,"broadband,normal,normal,normal,broadband",15905.97,0.231,3460.0,5972.33,0.4666,30.0,5,7.85,,20000,64,298426368,38.199,2026-08-31 07:18:45,True,True,True,True,1000144896,65536,BROADBAND noise blow-up (raw std > 2500 ADC): hardware/handling regime; QC before use,E:\3rd_rat_spikes\SF12\FBED2F2321B1\2_20260831_071845.540
SF12,FBED2F2321B1,1_20260831_191521.024,1,2026-08-31 19:15:21.024,2026-08-31 19:15:56,35.776,0:00:36,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",177.5,0.999,795.0,522.1,0.0408,30.0,5,10.63,,20000,64,715520,0.092,2026-08-31 19:15:21,True,True,True,True,250347520,65536,,E:\3rd_rat_spikes\SF12\FBED2F2321B1\1_20260831_191521.024
SF12,FBED2F2321B1,2_20260831_191613.417,2,2026-08-31 19:16:13.417,2026-09-01 00:30:37,18864.026,5:14:24,64,12,FM64: glitch defects A/B (~100-1400 ticks/s summed over 64 ch); stop-only commit,True,stop-only commit (session exists only after a clean Record Stop),glitchy,normal,"normal,normal,normal,normal,normal",572.47,1.0,1249.0,1040.53,0.0813,30.0,5,8.48,,20000,64,377280512,48.292,2026-08-31 19:16:13,True,True,True,True,250347520,65536,,E:\3rd_rat_spikes\SF12\FBED2F2321B1\2_20260831_191613.417
