animal,session,firmware,size_gb,duration_s,hashed_gb,n_blocks,n_const_blocks,n_repeated_blocks,repeat_runs,blocks_shared_with_prev_tail,blocks_shared_with_next_head,n_windows,n_broadband_windows,rail_channels,flat_channels,stuck_channels,exact_dup_pairs,near_dup_pairs,identity_unstable_channels,identity_min_r_median,median_std_adc
SF07,8_20260901_192830.797,65,0.082771968,32.3328,0.082771968,1263,0,0,,0,0,40,0,,,,,,,0.9749355944569578,721.87060546875
SF07,9_20260901_192912.215,65,39.032651776,15247.1296,39.032651776,595591,0,0,,0,0,40,0,,,,,,,0.9170083279382797,737.4898071289062
SF07,10_20260901_234332.691,65,61.2876288,23940.48,61.2876288,935175,0,0,,0,0,40,0,,,,,,,0.7606715568059654,705.6412963867188
SF07,11_20260902_062241.295,65,10.946576384,4276.0064,10.946576384,167032,0,0,,0,0,40,0,,,,,,,0.8634864607131664,812.887939453125
SF07,12_20260902_074608.443,65,0.01835008,7.168,0.01835008,280,0,0,,0,0,40,0,,,,,,,0.9555135522414703,604.5244140625
SF07,13_20260902_082234.535,65,0.08224768,32.128,0.08224768,1255,0,0,,0,0,40,0,,,,,,,0.8298130047535281,724.0399780273438
SF07,14_20260902_082315.755,65,0.130482176,50.9696,0.130482176,1991,0,0,,0,0,40,0,,,,,,,0.976581698275159,625.4027099609375
SF07,15_20260902_082418.755,65,78.450065408,30644.5568,78.450065408,1197053,0,0,,0,0,40,0,,,,,,,0.8912304952852688,805.2887573242188
SF07,16_20260902_165524.033,65,11.893014528,4645.7088,11.893014528,181473,0,0,,0,,40,0,,,,,,,0.7449218578479768,796.2167358398438
