animal,window,session,channel,spike_band_mad_adc,theta_ratio,spindle_ratio,delta_frac,log_gamma,swr_rate_per_min,swr_peak_freq_hz,swr_dur_ms,swr_peak_z
SF10,rest night,9_20260904_202620.386,8,51.5,0.856,0.668,17.955,2.775,7.2,152.0,28.0,4.7
SF10,rest night,9_20260904_202620.386,9,50.0,0.729,0.638,19.713,2.775,6.6,152.0,25.2,4.8
SF10,rest night,9_20260904_202620.386,10,54.5,0.787,0.653,18.831,2.781,5.9,156.2,25.6,4.8
SF10,rest night,9_20260904_202620.386,11,50.1,0.948,0.761,14.564,3.195,53.0,152.6,32.0,7.3
SF10,rest night,9_20260904_202620.386,12,40.5,0.937,0.676,16.981,2.786,14.9,152.6,24.8,5.0
SF10,rest night,9_20260904_202620.386,13,47.0,1.178,0.708,14.214,2.907,22.4,152.6,27.2,5.3
SF10,rest night,9_20260904_202620.386,14,44.5,1.271,0.728,13.312,2.985,29.8,152.6,26.4,5.6
SF10,rest night,9_20260904_202620.386,15,49.9,1.009,0.729,14.0,3.438,43.9,150.1,28.8,5.7
SF10,rest night,9_20260904_202620.386,16,52.2,1.281,0.738,13.239,2.98,50.8,155.0,33.6,8.7
SF10,rest night,9_20260904_202620.386,17,48.4,1.006,0.703,15.48,2.821,15.5,153.8,26.4,5.2
SF10,rest night,9_20260904_202620.386,18,40.8,1.315,0.724,13.104,2.961,36.1,153.8,28.0,6.0
SF10,rest night,9_20260904_202620.386,19,53.7,1.087,0.788,13.508,3.211,59.3,153.8,32.8,9.1
SF10,rest night,9_20260904_202620.386,20,39.8,1.145,0.691,14.786,2.843,23.4,153.8,26.4,5.3
SF10,rest night,9_20260904_202620.386,21,48.5,1.493,0.728,11.92,3.123,37.3,153.8,28.8,6.3
SF10,rest night,9_20260904_202620.386,22,45.0,0.955,0.679,16.773,2.801,18.0,152.6,24.8,5.2
SF10,rest night,9_20260904_202620.386,23,43.5,1.171,0.689,14.789,2.866,21.0,152.6,26.8,5.2
SF10,rest night,9_20260904_202620.386,24,40.3,1.084,0.685,15.218,2.811,22.6,153.8,25.6,5.4
SF10,rest night,9_20260904_202620.386,25,51.3,0.841,0.665,18.51,2.804,7.2,153.8,24.0,4.9
SF10,rest night,9_20260904_202620.386,26,43.9,1.188,0.723,14.065,2.889,38.2,155.0,29.6,6.8
SF10,rest night,9_20260904_202620.386,27,51.7,0.928,0.67,17.509,2.804,10.1,155.0,24.8,4.9
SF10,rest night,9_20260904_202620.386,28,46.8,1.239,0.746,13.225,2.987,53.3,155.0,34.4,9.8
SF10,rest night,9_20260904_202620.386,29,48.6,1.254,0.703,13.993,2.92,19.4,152.6,26.4,5.1
SF10,rest night,9_20260904_202620.386,30,58.2,0.931,0.871,13.585,3.04,38.0,152.6,28.0,6.5
SF10,rest night,9_20260904_202620.386,31,52.5,1.549,0.72,11.676,3.172,54.8,155.0,34.4,8.9
SF10,rest night,9_20260904_202620.386,32,23.7,0.362,0.553,29.217,0.756,4.9,153.8,26.4,10.4
SF10,rest night,9_20260904_202620.386,33,41.0,0.856,0.654,17.357,2.797,17.1,153.8,24.8,5.0
SF10,rest night,9_20260904_202620.386,34,23.9,0.358,0.554,29.231,0.759,4.7,152.6,26.4,10.4
SF10,rest night,9_20260904_202620.386,35,52.2,0.883,0.674,17.047,2.786,6.7,155.0,24.8,5.0
SF10,rest night,9_20260904_202620.386,36,53.0,1.219,0.719,13.173,3.038,55.9,156.2,34.4,8.5
SF10,rest night,9_20260904_202620.386,37,51.4,0.71,0.626,19.423,2.759,7.0,150.1,23.2,4.7
SF10,rest night,9_20260904_202620.386,38,65.5,1.171,0.741,13.465,2.989,30.6,153.8,26.0,5.5
SF10,rest night,9_20260904_202620.386,39,55.3,1.187,0.707,13.48,3.051,62.1,156.2,36.8,9.8
SF10,rest night,9_20260904_202620.386,40,45.5,0.948,0.687,16.226,2.788,17.0,152.6,25.6,5.2
SF10,rest night,9_20260904_202620.386,41,43.0,1.072,0.712,14.762,2.857,29.3,152.6,27.2,5.4
SF10,rest night,9_20260904_202620.386,42,44.3,0.819,0.66,17.793,2.755,11.4,151.4,24.0,4.8
SF10,rest night,9_20260904_202620.386,43,51.8,0.827,0.746,15.336,3.087,53.5,156.2,34.4,8.3
SF10,rest night,9_20260904_202620.386,44,41.1,0.853,0.654,17.414,2.798,17.3,155.0,24.8,5.1
SF10,rest night,9_20260904_202620.386,45,58.1,0.957,0.721,14.526,3.047,62.0,156.2,36.0,9.2
SF10,rest night,9_20260904_202620.386,46,51.5,0.759,0.645,18.6,2.758,6.2,150.1,24.0,4.9
SF10,rest night,9_20260904_202620.386,47,59.2,1.075,0.761,13.671,3.142,60.9,155.0,34.4,10.0
SF10,rest night,9_20260904_202620.386,48,63.2,0.976,0.821,14.66,2.573,35.3,155.0,28.8,6.8
SF10,rest night,9_20260904_202620.386,49,40.7,1.059,0.78,14.147,2.803,30.8,154.4,28.0,6.6
SF10,rest night,9_20260904_202620.386,50,70.8,0.96,0.809,14.993,2.621,29.6,156.2,28.0,6.5
SF10,rest night,9_20260904_202620.386,51,42.7,1.032,0.78,14.53,2.668,20.5,156.2,26.4,5.9
SF10,rest night,9_20260904_202620.386,52,61.4,0.969,0.812,14.813,2.677,36.5,153.8,29.6,6.8
SF10,rest night,9_20260904_202620.386,53,44.4,1.015,0.779,14.808,2.579,15.2,156.2,25.6,5.6
SF10,rest night,9_20260904_202620.386,54,71.4,0.971,0.813,14.659,2.704,30.8,155.0,28.4,6.6
SF10,rest night,9_20260904_202620.386,55,46.2,1.005,0.784,15.011,2.504,11.5,158.7,24.8,5.4
SF10,rest night,9_20260904_202620.386,56,24.8,0.373,0.573,28.975,0.838,4.3,152.6,27.2,9.1
SF10,rest night,9_20260904_202620.386,57,49.8,0.987,0.791,15.271,2.466,8.2,158.7,25.6,5.3
SF10,rest night,9_20260904_202620.386,58,66.7,0.98,0.817,14.401,2.819,36.4,155.0,28.8,6.7
SF10,rest night,9_20260904_202620.386,59,50.7,0.939,0.798,16.564,2.392,5.6,158.7,26.0,5.2
SF10,rest night,9_20260904_202620.386,60,24.5,0.36,0.558,29.132,0.769,4.8,153.2,24.8,10.5
SF10,rest night,9_20260904_202620.386,61,57.0,0.777,0.79,20.627,2.205,5.2,160.5,23.2,5.4
SF10,rest night,9_20260904_202620.386,62,49.8,0.97,0.835,14.058,2.932,42.4,153.8,28.8,6.9
SF10,rest night,9_20260904_202620.386,63,71.8,0.417,0.607,27.244,1.739,3.7,156.2,26.4,10.1
SF10,rest day,7_20260905_093927.479,0,52.0,0.836,0.75,14.746,3.221,65.1,153.8,33.6,9.2
SF10,rest day,7_20260905_093927.479,1,54.1,0.89,0.851,13.635,3.072,35.7,153.8,28.8,5.8
SF10,rest day,7_20260905_093927.479,2,14.4,0.524,0.686,23.957,1.101,8.9,161.1,32.8,9.3
SF10,rest day,7_20260905_093927.479,3,46.4,0.768,0.83,15.379,2.908,36.1,153.8,28.0,5.7
SF10,rest day,7_20260905_093927.479,4,54.0,0.86,0.841,14.14,3.017,31.1,152.6,28.0,5.5
SF10,rest day,7_20260905_093927.479,5,54.0,0.729,0.788,17.005,2.835,13.5,152.6,25.6,4.8
SF10,rest day,7_20260905_093927.479,6,51.6,0.691,0.765,17.695,2.797,11.1,152.6,24.0,4.9
SF10,rest day,7_20260905_093927.479,7,58.1,1.007,0.827,12.525,3.185,71.8,156.2,36.0,9.2
SF10,rest day,7_20260905_093927.479,8,52.7,0.604,0.72,20.169,2.751,10.2,150.8,24.8,4.9
SF10,rest day,7_20260905_093927.479,9,50.3,0.521,0.684,21.451,2.752,9.9,152.6,23.2,5.0
SF10,rest day,7_20260905_093927.479,10,46.8,0.561,0.702,20.535,2.751,13.4,151.4,24.0,5.0
SF10,rest day,7_20260905_093927.479,11,51.8,0.771,0.752,15.349,3.154,66.3,155.0,34.4,9.1
SF10,rest day,7_20260905_093927.479,12,45.6,0.64,0.744,18.923,2.764,17.2,152.0,24.8,5.1
SF10,rest day,7_20260905_093927.479,13,56.5,0.785,0.808,15.642,2.886,19.3,152.6,25.6,5.1
SF10,rest day,7_20260905_093927.479,14,45.5,0.821,0.828,14.968,2.952,35.4,152.6,28.0,5.7
SF10,rest day,7_20260905_093927.479,15,49.7,0.887,0.661,14.618,3.444,42.4,150.1,27.2,5.7
SF10,rest day,7_20260905_093927.479,16,54.9,0.957,0.842,13.299,3.096,67.1,153.8,36.0,9.3
SF10,rest day,7_20260905_093927.479,17,49.7,0.698,0.792,17.164,2.81,15.4,153.8,27.2,5.2
SF10,rest day,7_20260905_093927.479,18,41.8,0.878,0.833,14.314,2.991,38.9,152.6,29.6,6.0
SF10,rest day,7_20260905_093927.479,19,57.3,0.888,0.845,13.339,3.209,70.3,155.0,38.4,10.7
SF10,rest day,7_20260905_093927.479,20,41.8,0.741,0.776,17.033,2.822,26.2,153.8,28.0,5.6
SF10,rest day,7_20260905_093927.479,21,48.2,0.949,0.854,13.012,3.101,35.3,152.6,29.6,5.8
SF10,rest day,7_20260905_093927.479,22,45.1,0.614,0.72,20.066,2.776,14.0,153.8,24.8,5.0
SF10,rest day,7_20260905_093927.479,23,45.4,0.78,0.785,16.255,2.842,27.6,152.6,26.4,5.3
SF10,rest day,7_20260905_093927.479,24,42.7,0.715,0.755,17.701,2.789,22.4,152.6,27.2,5.1
SF10,rest day,7_20260905_093927.479,25,45.9,0.6,0.714,20.192,2.777,11.5,152.6,24.0,4.9
SF10,rest day,7_20260905_093927.479,26,43.7,0.818,0.815,15.209,2.9,39.7,153.8,28.8,5.9
SF10,rest day,7_20260905_093927.479,27,46.1,0.635,0.728,19.434,2.779,14.3,152.6,26.4,4.7
SF10,rest day,7_20260905_093927.479,28,41.5,0.886,0.84,13.722,3.024,63.4,153.8,32.8,8.3
SF10,rest day,7_20260905_093927.479,29,48.5,0.817,0.804,15.597,2.891,24.0,152.6,27.2,5.4
SF10,rest day,7_20260905_093927.479,30,55.4,0.76,0.78,14.437,3.036,49.7,152.6,30.4,7.2
SF10,rest day,7_20260905_093927.479,31,49.8,0.985,0.859,12.408,3.157,53.7,153.8,30.4,6.3
SF10,rest day,7_20260905_093927.479,32,11.0,0.595,0.999,21.975,0.747,9.6,163.0,45.2,14.5
SF10,rest day,7_20260905_093927.479,33,41.6,0.596,0.741,18.954,2.788,20.3,152.6,25.6,5.0
SF10,rest day,7_20260905_093927.479,34,11.2,0.566,0.98,22.562,0.751,10.5,161.1,48.0,14.5
SF10,rest day,7_20260905_093927.479,35,52.1,0.617,0.749,18.991,2.761,8.7,151.4,25.6,4.7
SF10,rest day,7_20260905_093927.479,36,52.3,0.856,0.837,13.692,3.052,58.0,156.9,32.0,7.6
SF10,rest day,7_20260905_093927.479,37,52.4,0.511,0.679,21.16,2.729,9.1,152.6,24.0,4.8
SF10,rest day,7_20260905_093927.479,38,50.7,0.79,0.846,14.756,2.975,32.5,153.8,27.2,5.4
SF10,rest day,7_20260905_093927.479,39,51.3,0.851,0.822,14.082,3.072,69.7,157.5,34.4,9.3
SF10,rest day,7_20260905_093927.479,40,46.6,0.664,0.77,17.998,2.771,18.0,151.4,26.4,5.2
SF10,rest day,7_20260905_093927.479,41,47.7,0.731,0.811,16.218,2.857,18.6,153.8,26.4,5.1
SF10,rest day,7_20260905_093927.479,42,46.8,0.581,0.726,19.505,2.731,12.5,152.6,26.4,5.0
SF10,rest day,7_20260905_093927.479,43,52.5,0.674,0.725,16.257,3.071,63.9,156.2,34.4,9.3
SF10,rest day,7_20260905_093927.479,44,41.6,0.599,0.739,19.183,2.788,21.1,152.6,24.8,5.0
SF10,rest day,7_20260905_093927.479,45,56.5,0.757,0.791,14.897,3.05,71.1,157.5,35.2,9.9
SF10,rest day,7_20260905_093927.479,46,51.2,0.545,0.702,20.178,2.731,9.0,152.6,24.8,4.9
SF10,rest day,7_20260905_093927.479,47,61.8,0.868,0.825,13.729,3.158,71.2,155.0,36.8,10.0
SF10,rest day,7_20260905_093927.479,48,47.5,0.754,0.682,14.67,2.719,50.5,153.8,31.2,7.3
SF10,rest day,7_20260905_093927.479,49,34.2,0.673,0.675,14.868,2.853,46.9,153.8,31.2,7.3
SF10,rest day,7_20260905_093927.479,50,58.1,0.733,0.67,14.927,2.754,42.6,153.8,29.6,6.8
SF10,rest day,7_20260905_093927.479,51,34.3,0.648,0.686,15.454,2.825,40.0,153.8,29.6,6.8
SF10,rest day,7_20260905_093927.479,52,46.4,0.755,0.693,14.666,2.769,51.6,153.8,31.2,7.2
SF10,rest day,7_20260905_093927.479,53,34.2,0.627,0.696,15.654,2.802,40.1,155.0,30.4,6.7
SF10,rest day,7_20260905_093927.479,54,59.9,0.744,0.679,14.505,2.797,41.6,155.0,30.4,7.2
SF10,rest day,7_20260905_093927.479,55,34.1,0.621,0.709,15.662,2.823,38.1,156.2,29.6,6.5
SF10,rest day,7_20260905_093927.479,56,11.2,0.589,0.98,22.267,0.772,10.6,159.3,42.4,13.8
SF10,rest day,7_20260905_093927.479,57,35.7,0.634,0.714,15.28,2.869,36.8,155.0,30.0,6.6
SF10,rest day,7_20260905_093927.479,58,57.4,0.751,0.712,14.83,2.851,47.9,153.8,30.4,7.1
SF10,rest day,7_20260905_093927.479,59,34.7,0.668,0.715,14.698,2.92,37.8,153.8,29.6,6.7
SF10,rest day,7_20260905_093927.479,60,46.1,0.75,0.748,15.07,2.89,53.9,152.6,31.2,7.2
SF10,rest day,7_20260905_093927.479,61,37.1,0.723,0.762,13.641,2.931,36.4,153.8,29.6,6.9
SF10,rest day,7_20260905_093927.479,62,44.5,0.744,0.773,14.807,2.924,54.7,152.6,30.4,7.3
SF10,rest day,7_20260905_093927.479,63,51.2,0.822,0.547,12.872,2.389,23.2,157.5,32.8,8.7
SF11,active night,12_20260904_202856.246,0,82.8,2.476,0.347,10.325,2.79,43.7,156.2,28.0,6.1
SF11,active night,12_20260904_202856.246,1,65.0,2.735,0.353,9.136,2.477,41.6,155.0,28.0,6.1
SF11,active night,12_20260904_202856.246,2,84.8,2.444,0.365,10.238,2.85,43.7,155.0,28.8,6.1
SF11,active night,12_20260904_202856.246,3,82.4,2.957,0.328,9.106,3.031,44.3,155.0,28.0,6.0
SF11,active night,12_20260904_202856.246,4,83.2,2.4,0.356,10.767,2.772,42.6,155.0,28.8,6.0
SF11,active night,12_20260904_202856.246,5,73.9,2.644,0.351,9.451,2.577,44.0,155.0,28.8,6.1
SF11,active night,12_20260904_202856.246,6,89.5,2.432,0.357,10.204,2.795,40.9,156.2,27.2,5.9
SF11,active night,12_20260904_202856.246,7,79.7,2.6,0.349,9.759,2.668,45.2,155.0,28.8,6.0
SF11,active night,12_20260904_202856.246,8,94.2,2.426,0.356,10.113,2.824,38.1,156.2,28.0,6.0
SF11,active night,12_20260904_202856.246,9,88.3,2.463,0.353,10.321,2.776,39.9,155.0,28.0,6.0
SF11,active night,12_20260904_202856.246,10,80.1,2.469,0.354,10.511,2.722,42.5,156.2,28.8,6.0
SF11,active night,12_20260904_202856.246,11,93.0,2.365,0.364,9.843,2.843,38.5,156.2,28.0,6.0
SF11,active night,12_20260904_202856.246,12,80.9,2.507,0.351,11.484,2.662,42.5,156.2,28.0,6.1
SF11,active night,12_20260904_202856.246,13,92.0,2.458,0.352,10.65,2.799,41.5,156.2,28.0,6.0
SF11,active night,12_20260904_202856.246,14,72.5,2.712,0.361,8.274,2.814,46.0,155.0,28.8,6.0
SF11,active night,12_20260904_202856.246,15,84.7,2.422,0.359,10.646,2.824,44.1,156.2,28.8,6.0
SF11,active night,12_20260904_202856.246,16,80.9,2.406,0.349,10.601,2.758,44.0,156.2,27.2,6.1
SF11,active night,12_20260904_202856.246,17,79.4,2.929,0.322,9.382,2.939,45.3,155.0,28.0,6.0
SF11,active night,12_20260904_202856.246,18,89.5,2.48,0.345,10.476,2.779,39.4,155.0,28.0,5.9
SF11,active night,12_20260904_202856.246,19,84.6,2.621,0.361,9.966,2.957,44.5,155.0,28.0,6.1
SF11,active night,12_20260904_202856.246,20,97.9,2.487,0.349,10.039,2.815,34.4,155.0,28.8,6.1
SF11,active night,12_20260904_202856.246,21,82.6,2.62,0.369,9.713,3.011,44.3,155.0,28.8,6.1
SF11,active night,12_20260904_202856.246,22,91.0,2.49,0.343,10.54,2.799,38.5,156.2,28.0,6.0
SF11,active night,12_20260904_202856.246,23,87.1,2.412,0.352,10.683,2.819,43.1,156.2,28.0,6.1
SF11,active night,12_20260904_202856.246,24,88.5,2.407,0.347,10.768,2.801,42.1,156.2,28.0,6.0
SF11,active night,12_20260904_202856.246,25,86.4,2.609,0.357,9.879,2.908,44.7,155.0,28.0,6.1
SF11,active night,12_20260904_202856.246,26,82.7,2.449,0.353,10.375,2.813,44.2,155.6,28.0,6.0
SF11,active night,12_20260904_202856.246,27,87.8,2.437,0.354,10.446,2.778,38.3,156.2,28.8,6.1
SF11,active night,12_20260904_202856.246,28,97.2,2.56,0.356,10.133,2.89,41.7,155.0,28.0,6.0
SF11,active night,12_20260904_202856.246,29,84.9,2.5,0.355,10.257,2.848,44.4,155.0,27.2,6.0
SF11,active night,12_20260904_202856.246,30,82.6,2.579,0.379,9.646,3.072,44.8,155.0,28.0,6.0
SF11,active night,12_20260904_202856.246,31,86.0,2.433,0.349,10.575,2.794,40.3,155.0,27.2,6.0
SF11,active night,12_20260904_202856.246,32,78.0,2.566,0.373,9.813,2.979,44.3,155.0,28.8,6.1
SF11,active night,12_20260904_202856.246,33,82.8,2.388,0.331,10.812,2.81,43.8,155.0,28.0,6.0
SF11,active night,12_20260904_202856.246,34,80.7,2.96,0.336,9.0,3.089,45.2,155.0,28.0,6.0
SF11,active night,12_20260904_202856.246,35,85.0,2.726,0.323,9.751,2.887,42.6,155.0,28.0,5.9
SF11,active night,12_20260904_202856.246,36,81.6,2.851,0.32,9.671,2.899,44.5,155.0,28.0,6.1
SF11,active night,12_20260904_202856.246,37,86.9,2.357,0.333,10.918,2.794,42.7,156.2,28.0,5.9
SF11,active night,12_20260904_202856.246,38,81.2,2.473,0.331,10.618,2.808,45.2,155.0,28.4,5.9
SF11,active night,12_20260904_202856.246,39,83.6,2.437,0.327,10.875,2.76,42.4,155.0,28.8,6.0
SF11,active night,12_20260904_202856.246,40,83.0,2.365,0.33,10.787,2.78,43.9,155.0,28.0,5.9
SF11,active night,12_20260904_202856.246,41,84.5,2.352,0.336,10.88,2.803,42.6,155.6,28.0,6.0
SF11,active night,12_20260904_202856.246,42,82.7,2.429,0.325,10.832,2.742,44.1,155.0,28.0,5.9
SF11,active night,12_20260904_202856.246,43,84.1,2.643,0.328,10.188,2.843,44.7,155.0,27.2,6.1
SF11,active night,12_20260904_202856.246,44,83.5,2.349,0.332,11.054,2.787,43.3,155.0,28.0,6.0
SF11,active night,12_20260904_202856.246,45,82.1,2.963,0.322,9.405,2.98,45.3,155.0,28.0,6.1
SF11,active night,12_20260904_202856.246,46,82.9,2.562,0.325,10.382,2.832,44.9,155.0,28.8,5.9
SF11,active night,12_20260904_202856.246,47,82.3,2.479,0.369,10.478,2.905,44.5,156.2,28.0,6.0
SF11,active night,12_20260904_202856.246,48,69.6,2.394,0.33,12.197,2.583,44.0,155.0,28.0,6.0
SF11,active night,12_20260904_202856.246,49,82.5,2.782,0.336,9.889,2.931,46.7,156.2,28.0,6.0
SF11,active night,12_20260904_202856.246,50,77.3,2.453,0.334,10.789,2.693,43.2,156.2,28.0,6.0
SF11,active night,12_20260904_202856.246,51,79.7,2.875,0.347,9.125,3.106,43.4,155.0,28.0,6.1
SF11,active night,12_20260904_202856.246,52,80.2,2.551,0.328,11.733,2.667,40.8,156.2,28.4,6.0
SF11,active night,12_20260904_202856.246,53,79.0,2.348,0.343,12.529,2.776,44.7,155.0,28.0,6.0
SF11,active night,12_20260904_202856.246,54,78.7,2.537,0.329,10.668,2.702,41.8,156.2,28.0,5.9
SF11,active night,12_20260904_202856.246,55,81.2,2.852,0.337,9.445,2.976,46.2,155.0,28.0,6.0
SF11,active night,12_20260904_202856.246,56,82.4,2.438,0.333,10.866,2.755,43.6,155.0,28.0,6.0
SF11,active night,12_20260904_202856.246,57,84.5,2.647,0.325,11.726,2.736,42.2,155.0,28.0,5.9
SF11,active night,12_20260904_202856.246,58,78.7,2.537,0.333,10.565,2.769,46.5,156.2,28.0,6.0
SF11,active night,12_20260904_202856.246,59,79.3,2.728,0.33,9.815,2.833,45.3,155.0,28.0,6.1
SF11,active night,12_20260904_202856.246,60,80.8,2.686,0.332,10.047,2.844,45.7,155.0,28.0,6.0
SF11,active night,12_20260904_202856.246,61,79.6,2.474,0.334,10.318,2.758,44.3,155.0,28.0,6.0
SF11,active night,12_20260904_202856.246,62,79.3,2.855,0.344,9.349,3.056,45.2,155.0,28.0,6.1
SF11,active night,12_20260904_202856.246,63,74.9,2.614,0.329,10.125,2.709,45.4,155.0,28.4,6.0
SF11,rest night,12_20260904_202856.246,0,51.0,0.438,0.681,23.073,2.686,13.9,151.4,25.6,4.9
SF11,rest night,12_20260904_202856.246,1,46.0,0.471,0.715,21.047,2.278,19.1,153.8,26.4,5.4
SF11,rest night,12_20260904_202856.246,2,51.4,0.456,0.704,22.352,2.736,18.7,151.4,25.6,5.1
SF11,rest night,12_20260904_202856.246,3,49.5,0.663,0.826,17.472,2.974,47.7,152.6,28.8,6.0
SF11,rest night,12_20260904_202856.246,4,53.1,0.391,0.636,24.005,2.666,12.2,152.0,24.8,4.8
SF11,rest night,12_20260904_202856.246,5,53.9,0.42,0.663,22.58,2.426,9.5,153.8,25.6,4.8
SF11,rest night,12_20260904_202856.246,6,55.6,0.405,0.656,23.397,2.705,12.6,156.2,24.8,5.0
SF11,rest night,12_20260904_202856.246,7,56.4,0.405,0.645,23.133,2.54,10.5,155.0,24.0,4.7
SF11,rest night,12_20260904_202856.246,8,58.3,0.436,0.705,22.593,2.747,18.6,156.2,24.0,4.9
SF11,rest night,12_20260904_202856.246,9,57.6,0.388,0.636,23.922,2.684,15.4,155.0,24.8,4.8
SF11,rest night,12_20260904_202856.246,10,49.4,0.394,0.637,23.533,2.566,14.3,153.8,23.2,4.8
SF11,rest night,12_20260904_202856.246,11,58.6,0.479,0.752,21.771,2.792,14.3,156.2,23.2,5.1
SF11,rest night,12_20260904_202856.246,12,57.0,0.42,0.66,22.595,2.516,12.9,153.8,24.0,4.8
SF11,rest night,12_20260904_202856.246,13,54.5,0.373,0.613,24.343,2.71,17.2,155.0,24.8,4.9
SF11,rest night,12_20260904_202856.246,14,44.5,0.537,0.756,19.544,2.637,39.4,152.0,28.0,5.6
SF11,rest night,12_20260904_202856.246,15,51.4,0.414,0.664,23.419,2.72,15.3,151.4,25.6,4.8
SF11,rest night,12_20260904_202856.246,16,50.8,0.398,0.641,24.008,2.642,7.4,152.6,24.4,4.8
SF11,rest night,12_20260904_202856.246,17,47.2,0.603,0.782,19.226,2.863,38.9,152.6,28.8,5.7
SF11,rest night,12_20260904_202856.246,18,57.1,0.385,0.634,24.031,2.687,15.5,155.0,24.0,5.1
SF11,rest night,12_20260904_202856.246,19,48.8,0.561,0.781,19.761,2.85,43.9,152.6,28.0,5.9
SF11,rest night,12_20260904_202856.246,20,61.7,0.44,0.71,22.538,2.745,15.7,157.5,25.6,5.1
SF11,rest night,12_20260904_202856.246,21,49.5,0.58,0.796,19.163,2.886,43.5,153.8,28.8,6.0
SF11,rest night,12_20260904_202856.246,22,56.9,0.375,0.61,24.378,2.718,15.2,153.8,24.0,5.1
SF11,rest night,12_20260904_202856.246,23,53.9,0.422,0.666,23.415,2.73,11.3,152.6,25.6,4.8
SF11,rest night,12_20260904_202856.246,24,53.0,0.384,0.62,24.338,2.72,13.5,151.4,24.8,4.8
SF11,rest night,12_20260904_202856.246,25,52.4,0.531,0.754,20.639,2.786,28.0,153.8,27.2,5.4
SF11,rest night,12_20260904_202856.246,26,53.4,0.453,0.695,22.797,2.717,9.4,152.6,24.8,4.8
SF11,rest night,12_20260904_202856.246,27,56.3,0.404,0.664,23.531,2.698,19.4,156.2,24.8,5.1
SF11,rest night,12_20260904_202856.246,28,58.6,0.512,0.739,21.165,2.771,19.3,152.6,25.6,5.2
SF11,rest night,12_20260904_202856.246,29,50.5,0.469,0.707,22.422,2.725,16.6,152.6,25.6,4.9
SF11,rest night,12_20260904_202856.246,30,50.8,0.601,0.808,18.616,2.92,41.1,152.6,28.8,5.9
SF11,rest night,12_20260904_202856.246,31,55.8,0.375,0.611,24.288,2.702,13.4,153.8,24.8,4.8
SF11,rest night,12_20260904_202856.246,32,37.8,0.553,0.779,19.87,2.849,50.9,151.4,28.8,6.0
SF11,rest night,12_20260904_202856.246,33,50.5,0.453,0.655,23.721,2.764,14.4,152.6,26.4,4.7
SF11,rest night,12_20260904_202856.246,34,46.9,0.676,0.842,17.171,3.017,56.4,153.2,29.6,6.2
SF11,rest night,12_20260904_202856.246,35,56.0,0.55,0.729,20.881,2.819,14.7,151.4,27.2,5.0
SF11,rest night,12_20260904_202856.246,36,48.6,0.576,0.755,20.202,2.828,33.7,152.6,28.0,5.5
SF11,rest night,12_20260904_202856.246,37,57.0,0.387,0.609,25.166,2.766,10.0,155.0,24.0,4.7
SF11,rest night,12_20260904_202856.246,38,49.2,0.471,0.674,23.111,2.754,12.1,152.6,24.0,4.7
SF11,rest night,12_20260904_202856.246,39,54.5,0.378,0.601,25.29,2.734,10.2,152.6,24.8,4.8
SF11,rest night,12_20260904_202856.246,40,52.7,0.405,0.618,24.683,2.751,11.7,155.0,24.0,4.8
SF11,rest night,12_20260904_202856.246,41,54.6,0.438,0.641,24.117,2.768,8.9,151.4,24.0,4.7
SF11,rest night,12_20260904_202856.246,42,55.0,0.375,0.602,25.165,2.729,14.8,152.6,24.4,4.8
SF11,rest night,12_20260904_202856.246,43,50.9,0.524,0.706,21.74,2.775,15.6,151.4,27.2,5.0
SF11,rest night,12_20260904_202856.246,44,50.5,0.418,0.629,24.537,2.75,13.8,153.8,24.0,4.7
SF11,rest night,12_20260904_202856.246,45,49.4,0.63,0.804,18.47,2.92,39.8,153.8,28.0,5.7
SF11,rest night,12_20260904_202856.246,46,52.0,0.5,0.691,22.448,2.771,16.2,152.6,26.4,5.0
SF11,rest night,12_20260904_202856.246,47,48.9,0.504,0.741,21.139,2.781,20.3,152.6,26.4,5.3
SF11,rest night,12_20260904_202856.246,48,45.3,0.441,0.674,23.425,2.48,9.0,152.6,24.0,4.7
SF11,rest night,12_20260904_202856.246,49,48.6,0.58,0.779,19.706,2.851,32.1,152.6,28.8,5.7
SF11,rest night,12_20260904_202856.246,50,46.9,0.394,0.631,24.323,2.62,9.4,152.6,23.2,4.6
SF11,rest night,12_20260904_202856.246,51,44.1,0.656,0.847,17.39,3.025,54.3,152.6,28.8,6.0
SF11,rest night,12_20260904_202856.246,52,49.3,0.396,0.636,24.16,2.593,10.6,153.8,23.2,4.8
SF11,rest night,12_20260904_202856.246,53,47.6,0.457,0.696,23.218,2.7,13.9,152.6,26.4,4.9
SF11,rest night,12_20260904_202856.246,54,51.4,0.387,0.617,24.462,2.658,11.6,151.4,24.0,4.9
SF11,rest night,12_20260904_202856.246,55,48.3,0.578,0.788,19.639,2.877,38.3,152.6,28.0,5.7
SF11,rest night,12_20260904_202856.246,56,53.1,0.406,0.635,24.272,2.691,10.4,152.6,24.0,4.8
SF11,rest night,12_20260904_202856.246,57,54.4,0.401,0.64,23.875,2.681,14.8,153.8,24.0,4.8
SF11,rest night,12_20260904_202856.246,58,47.3,0.468,0.692,22.939,2.691,12.8,152.6,25.6,5.0
SF11,rest night,12_20260904_202856.246,59,47.1,0.503,0.726,21.831,2.749,29.9,152.6,28.0,5.2
SF11,rest night,12_20260904_202856.246,60,48.0,0.524,0.733,21.342,2.758,26.2,151.4,28.0,5.2
